,,1,2,3,4,5,6,7,,,,24,25,26,27,28,29,36,37,38,39,,,,1
,Quercus coccifera L.,2,2,1,2,4,3,3,,A,Pistacia lentiscus L.,.,.,.,.,.,.,.,.,.,.,,,Quercus coccifera L.,3
,Rhamnus fontquerianus,1,2,2,2,2,1,2,,a,Pistacia lentiscus L.,2,2,2,2,2,2,1,2,2,3,,,Asparagus albus L.,2
,Asparagus albus L.,1,1,1,1,2,1,3,,,Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman [sub],.,.,.,.,.,.,.,.,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],2
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1,2,1,1,1,+,1,,,Myrtus communis L.,1,+,.,.,.,.,.,+,+,1,,,Phlomis purpurea L.,2
,Quercus rotundifolia Lam.,1,2,1,1,+,1,1,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],3,3,3,3,3,3,.,+,.,.,,,Eleaeoselinum foetidum,1
,Arisarum vulgare Targ.-Tozz.,1,2,2,1,+,1,1,,,Quercus coccifera L.,1,2,1,+,2,3,4,3,5,4,,,Pistacia lentiscus L.,1
,Pistacia terebinthus L.,1,1,.,+,.,.,+,,,Quercus Xauzandrii Gren. & Godr. [sub],.,.,.,.,.,.,.,.,.,.,,,Rhamnus fontquerianus,1
,Jasminum fruticans L.,.,1,1,1,.,.,.,,,Calicotome villosa (Poir.) Link,.,.,.,.,.,.,.,.,.,.,,,Asparagus acutifolius L.,+
,Asparagus acutifolius L.,.,1,1,+,+,.,+,,,Quercus lusitanica Lam.,.,.,.,.,.,.,.,.,.,.,,,Jasminum fruticans L.,+
,Rubia peregrina L.,.,+,.,.,+,.,+,,,Juniperus navicularis Gand.,.,.,.,.,.,.,.,.,.,.,,,Rubia peregrina L. [sub],+
,Osyris lanceolada,1,.,.,.,.,.,1,,,Corema album (L.) D. Don,.,.,.,.,.,.,.,.,.,.,,,Bryonia dioica Jacq.,1
,Teucrium fruticans L.,1,.,.,.,.,1,.,,,Clematis cirrhosa L.,.,.,.,.,.,.,.,.,.,.,,,Cistus albidus L.,1
,Cistus monspeliensis L.,1,.,.,.,.,1,+,,,Phlomis purpurea L.,2,1,1,2,.,+,.,+,+,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],1
,Ballota hirsuta Benth.,.,.,.,.,+,+,+,,,Asparagus albus L.,2,+,+,+,.,+,.,.,.,.,,,Thapsia villosa L.,+
,Tamus communis L.,+,1,.,.,.,.,.,,,Aristolochia baetica L.,+,1,.,+,.,+,.,.,.,.,,,,
,Cistus albidus L.,.,1,.,1,.,.,.,,,Pistacia terebinthus L.,.,.,.,.,.,.,.,.,1,1,,,,
,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,.,1,1,,,Coronilla juncea L.,.,.,.,.,.,.,.,1,1,.,,,,
,Convolvulus althaeoides L.,.,.,.,.,.,+,+,,,Biarum arundanum Boiss. & Reut.,.,.,.,.,.,.,.,.,.,.,,,,
,Rosmarinus officinalis L.,.,.,.,.,.,+,+,,,Melica minuta L. [sub],.,.,.,.,.,.,+,.,.,.,,,,
,Carex distachya Desf.,1,.,.,1,.,.,.,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,Lonicera implexa Aiton,.,.,1,1,.,.,.,,,Euphorbia transtagana Boiss.,.,.,.,.,.,.,.,.,.,.,,,,
,Smilax aspera L.,.,.,+,.,.,.,.,,,Rhaponticoides fraylensis (Sch. Bip. ex Nyman) M.V. Agab. & Greuter [sub],.,.,.,.,.,.,.,.,.,.,,,,
,Ruscus aculeatus L.,.,.,.,.,.,+,.,,,Rhaponticoides africana (Lam.) M.V.Agab. & Greuter [sub],.,.,.,.,.,.,.,.,.,.,,,,
,Lonicera implexa Aiton,.,.,.,.,.,1,.,,,Centaurea crocata Franco,.,.,.,.,.,.,.,.,.,.,,,,
,Daphne gnidium L.,.,.,.,.,.,1,.,,,Serratula alcalae Coss.,.,.,.,.,.,.,.,.,.,.,,,,
,Lavandula pedunculata Cav. [sub],.,.,.,.,+,.,.,,,Osyris quadripartita Salzm. ex Decne.,.,.,.,.,.,.,.,.,.,.,,,,
,Erophaca baetica (L.) Boiss. [sub],.,.,.,.,1,.,.,,,Antirrhinum majus L. subsp. cirrhigerum (Ficalho) Franco [sub],.,.,.,.,.,.,.,.,.,.,,,,
,Barlia robertiana (Loisel.) Greuter,.,+,.,.,.,.,.,,,Rubia peregrina L. [sub],.,.,.,.,.,.,+,+,1,1,,,,
,Narcissus fernandesii G. Pedro,.,+,.,.,.,.,.,,,Daphne gnidium L.,.,.,.,.,.,.,.,+,+,+,,,,
,Ballota hirsuta Benth. [sub],.,.,1,.,.,.,1,,,Lonicera implexa Aiton,.,+,+,+,.,.,2,1,1,2,,,,
,Retama sphaerocarpa (L.) Boiss.,.,.,.,1,.,.,.,,,Rhamnus alaternus L.,1,+,1,.,2,2,.,.,1,+,,,,
,Cistus ladanifer L. [sub],.,.,.,.,.,+,.,,,Smilax aspera L.,1,.,+,+,.,.,+,+,2,1,,,,
,Scolymus maculatus L.,.,.,.,.,.,.,+,,,Asparagus aphyllus L.,.,.,.,.,.,.,.,.,+,.,,,,
,Phlomis herba-venti L.,.,.,.,.,.,.,+,,,Arisarum simorrhinum Durieu [sub],.,+,+,+,+,.,+,+,1,1,,,,
,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout. [sub],.,.,.,.,.,.,+,,,Phillyrea angustifolia L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Asparagus acutifolius L.,1,+,+,.,.,.,.,1,.,.,,,,
,,,,,,,,,,,Jasminum fruticans L.,.,.,.,.,+,.,.,.,.,.,,,,
,,,,,,,,,,,Arbutus unedo L.,.,.,.,.,.,.,.,2,2,1,,,,
,,,,,,,,,,,Selaginella denticulata (L.) Spring,.,.,.,.,.,.,.,+,+,+,,,,
,,,,,,,,,,,Teucrium fruticans L.,2,.,+,+,.,1,.,1,+,1,,,,
,,,,,,,,,,,Anemone palmata L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Osyris alba L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Phillyrea latifolia L. [sub],3,1,+,1,.,.,.,+,2,+,,,,
,,,,,,,,,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],.,.,.,.,.,.,.,1,+,1,,,,
,,,,,,,,,,,Ceratonia siliqua L.,.,.,.,.,.,1,.,.,.,.,,,,
,,,,,,,,,,,Euphorbia characias L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Quercus rotundifolia Lam.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Viburnum tinus L.,.,.,.,.,.,.,1,1,.,.,,,,
,,,,,,,,,,,Scilla monophyllos Link,.,.,.,.,.,.,.,+,+,.,,,,
,,,,,,,,,,,Quercus suber L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,+,.,.,.,.,.,,,,
,,,,,,,,,,,Ruscus aculeatus L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Phillyrea latifolia L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Rosa sempervirens L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Carex distachya Desf.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Lavandula pedunculata Cav. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Cistus ladanifer L. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Genista hirsuta Vahl,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Genista polyanthos R. Roem. ex Willk.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Crataegus monogyna Jacq. [sub],.,.,.,.,+,.,2,2,2,2,,,,
,,,,,,,,,,,Cistus albidus L.,.,.,.,.,.,.,+,1,.,1,,,,
,,,,,,,,,,,Teucrium lusitanicum Schreb.,.,.,.,.,.,.,1,+,+,1.1,,,,
,,,,,,,,,,,Euphorbia nicaeensis All. [sub],.,.,.,.,.,.,+,+,+,.,,,,
,,,,,,,,,,,Ulex airensis Espírito Santo & al.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Teucrium capitatum L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Salvia sclareoides Brot.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Genista tounefortii,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Cheirolophus sempervirens (L.) Pomel,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Silene longicilia (Brot.) Otth,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Ulex jussiaei Webb,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Jurinea humilis (Desf.) DC. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Erica scoparia L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Halimium lasianthum (Lam.) Spach,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Thymus villosus L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Nepa boivinii (Webb) Webb [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Ulex argenteus Welw. ex Webb,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Drosophyllum lusitanicum (L.) Link,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Serratula algarbiensis,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Halimium calycinum (L.) K. Koch,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Halimium halimifolium (L.) Willk. in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Thymus capitellatus Hoffmanns. & Link,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Euphorbia boetica Boiss. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Urginea fugax (Moris) Steinh. [sub],1,+,1,+,.,+,.,.,.,.,,,,
,,,,,,,,,,,Cistus salviifolius L. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Cistus monspeliensis L.,+,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Rosmarinus officinalis L.,1,+,2,1,.,.,.,.,.,.,,,,
,,,,,,,,,,,Thapsia villosa L.,.,.,+,+,.,.,.,.,.,.,,,,
,,,,,,,,,,,Tamus communis L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Elaeoselinum phoetidum,+,.,+,+,.,.,+,+,2,1,,,,
,,,,,,,,,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Calluna vulgaris (L.) Hull,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Ferula communis L.,.,.,.,.,.,.,+,+,1,2,,,,
,,,,,,,,,,,Cistus crispus L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Phagnalon saxatile (L.) Cass.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Geranium purpureum Vill.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Saxifraga granulata L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Origanum virens Hoffmanns. & Link,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Retama sphaerocarpa (L.) Boiss.,.,.,.,1,.,.,.,.,.,.,,,,
,,,,,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Carex halleriana Asso [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Erica major,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Erica australis L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Smyrnium olusatrum L.,.,.,.,.,.,.,1,.,1,2,,,,
,,,,,,,,,,,Aristolochia paucinervis Pomel,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Bryonia dioica Jacq.,.,.,.,.,.,.,.,+,.,.,,,,
,,,,,,,,,,,Asphodelus ramosus L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,m,Cladonia mediterranica,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Tuberaria guttata (L.) Fourr.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Agrostis curtisii Kerguélen,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Sedum sediforme (Jacq.) Pau,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Rubus ulmifolius Schott,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Pulicaria odora (L.) Rchb.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Phlomis lychnitis L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Tuberaria lignosa (Sweet) Samp.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Erophaca baetica (L.) Boiss.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Cytinus hypocistis (L.) L. subsp. macranthus Wettst. [sub],.,.,.,.,.,.,.,.,.,+,,,,
,,,,,,,,,,,Ruta chalepensis L.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,¿ Hyacinthoides non-scripta (L.) Chouard ex Rothm. [sub],.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Silene latifolia Poir.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Armeria pungens (Link) Hoffmanns. & Link,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,,Asphodelus aestivus Brot.,.,.,.,.,.,.,.,.,.,.,,,,
,,,,,,,,,,m,Cladonia potentosa,.,.,.,.,.,.,.,.,.,.,,,,
