,,1,2,3,4
,Quercus suber L.,5,4,5,4
,Daphne gnidium L.,.,.,.,+
,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],+,.,.,1
,Cistus salviifolius L.,+,+,+,+
,Cistus ladanifer L. [sub],+,+,.,.
,Calicotome villosa (Poir.) Link,2,1,+,+
,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],+,1,+,+
,Asparagus aphyllus L.,+,.,+,+
,Carlina corymbosa L.,+,+,+,+
,Bryonia dioica Jacq. [sub],.,.,.,+
,Thapsia villosa L.,.,.,+,.
,Asphodelus aestivus Brot.,.,+,.,.
,Lavandula pedunculata Cav. [sub],.,.,1,.
,Thapsia villosa L. [sub],.,+,.,.
,Tamus communis L.,+,.,.,.
,Geranium sp.,+,.,.,.
