,,1
,Quercus suber L.,5
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1
,Pistacia lentiscus L.,3
,Rhamnus alaternus L.,2
,Viburnum tinus L.,2
,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],+
,Aristolochia baetica L.,3
,Asparagus acutifolius L.,1
,Asparagus aphyllus L.,1
,Clematis flammula L.,1
,Tamus communis L.,1
,Smilax aspera L. [sub],+
,Carex distachya Desf.,1
,Arum italicum Mill. subsp. neglectum (Towns.) Prime [sub],1
,Arisarum simorrhinum Durieu,1
,Elaeoselinum foetidum (L.) Boiss.,+
,Pinus pinea L.,2
,Geranium purpureum Vill.,2
,Halimium calycinum (L.) K. Koch,+
,Halimium halimifolium (L.) Willk. in Willk. & Lange,+
,Galium aparine L.,+
,Vinca difformis Pourr.,+
,Urtica membranacea Poir. in Lam.,+
,Oxalis pes-caprae L.,+
,Bryonia dioica Jacq.,+
,Ulex australis Clemente,+
