,,1,2,3,,,,1,2,3,4,5,6,7,8,,,,1,,,,1,,,,,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,,,,1
,Acer monspessufanum,1,2,.,,A,Quercus faginea Lam.,4,1,3,1,1,1,x,5,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,5,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,4,,,,1,,,Quercus broteroi (Cout.) Rivas-Martínez,5,5,5,5,5,5,4,3,4,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,5,5,5,4,5,1,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,4,4,3,3,4,4,4,,,Quercus broteroi (Cout.) Rivas-Martínez,4
,Quercus faginea Lam.,1,3,1,,a,Quercus faginea Lam.,+,2,2,.,+,.,.,+,,,Laurus nobilis L.,1,,,Hedera helix L.,2,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,4,,,Smilax aspera L. [sub],2,2,3,3,3,3,2,.,1,,,Genista toumefortii,.,.,.,.,2,1,,,Pistacia lentiscus L.,2,2,2,1,1,1,2,,,Quercus coccifera L.,1
,Phillyrea latifolia L.,1,2,2,,,Quercus faginea Lam.,+,.,.,.,+,.,.,+,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,,a,Quercus coccifera L.,+,,,Smilax aspera L.,3,,,Rubia peregrina L. [sub],1,2,2,2,1,.,2,+,.,,,Paeonia broteri Boiss. & Reut. [sub],.,1,r,2,.,.,,,Rhamnus alaternus L.,1,1,2,2,1,1,2,,,Viburnum tinus L.,2
,Quercus coccifera L.,1,1,2,,,Vinca difformis Pourr.,3,2,2,.,.,.,.,.,,,Rhamnus alaternus L.,2,,,Viburnum tinus L.,+,,,Quercus suber L.,2,,,Ruscus aculeatus L.,2,2,2,2,2,1,.,.,.,,,Arisarum vulgare Targ.-Tozz. [sub],.,+,+,.,.,.,,,Rubia peregrina L. [sub],1,1,1,+,+,+,+,,,Phillyrea latifolia L. [sub],2
,Arbutus unedo L.,.,.,2,,,Epipactis helleborine (L.) Crantz [sub],.,.,.,x,.,.,.,+,,,Osyris alba L.,2,,,Phillyrea latifolia L.,+,,,Arbutus unedo L.,2,,,Euphorbia characias L.,1,2,2,2,.,.,.,2,1,,,Hyacinthoides hispanica (Mill.) Rothm.,.,+,.,+,.,.,,,Lonicera implexa Aiton,+,+,1,1,+,+,+,,,Lonicera implexa Aiton,+
,Quercus rotundifofia,+,.,.,,,Melica minuta L. [sub],1,.,.,.,.,.,(+),.,,,Euphorbia characias L.,1,,,Rhamnus alaternus L.,+,,,Myrtus communis L.,2,,,Hedera canariensis Willd.,2,2,2,3,.,.,.,.,1,,,Smilax aspera L.,.,+,.,1,.,.,,,Osyris alba L.,+,1,2,2,+,1,.,,,Carex distachya Desf.,+
,Pistacia lentiscus L.,.,1,2,,,Cephalanthera longifolia (L.) Fritsch [sub],.,.,.,.,.,.,.,(+),,,Ruscus aculeatus L.,3,,,Arbutus unedo L.,1,,,Asplenium onopteris L.,2,,,Laurus nobilis L.,3,2,2,.,.,.,.,.,1,,,Daphne gnidium L.,1,1,+,.,+,.,,,Smilax aspera L.,+,+,.,+,+,1,3,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],+
,Viburnum tinus L.,+,2,2,,,Aristolochia paucinervis Pomel [sub],+,1,+,x,.,.,.,.,,,Hedera hibernica (G. Kirchn.) Bean,3,,,Pistacia lentiscus L.,1,,,Quercus coccifera L.,1,,,Daphne gnidium L.,.,.,+,.,+,2,1,.,.,,,Ruscus aculeatus L.,+,.,3,.,+,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,1,2,1,2,1,1,,,Piptatherum paradoxum (L.) P. Beauv.,1
,Erica arborea L.,.,.,1,,,Genista tournefortii Spach,.,2,2,x,.,.,.,.,,,Smilax aspera L. [sub],3,,,Laurus nobilis L.,+,,,Rosa sempervirens L.,1,,,Jasminum fruticans L.,2,2,.,.,.,.,.,2,1,,,Rubia peregrina L.,1,.,.,.,2,1,,,Rosa sempervirens L.,1,1,2,1,1,+,.,,,Arbutus unedo L.,2
,Myrtus communis L.,.,.,+,,a,Phillyrea latifolia L. [sub],2,.,.,.,2,.,2,.,,,Rubia peregrina L. [sub],1,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,1,,,Phillyrea latifolia L.,1,,,Asparagus aphyllus L.,1,+,.,.,.,+,2,.,.,,,Lonicera etrusca G. Santi,1,+,+,.,.,.,,,Asparagus aphyllus L.,.,+,+,+,+,+,+,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1
