,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,1,2,3,4,5,6
,Quercus pyrenaica Willd.,5,5,5,5,4,4,4,5,5,5,4,5,3,4,,,,Quercus pyrenaica Willd.,3,5,4,4,4,3
,Arisarum vulgare Targ.-Tozz.,1,1,1,2,2,.,.,.,1,2,1,2,.,.,,,,Arisarum simorrhinum Durieu,.,2,2,1,+,.
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,+,+,1,1,.,.,.,+,.,.,+,.,+,,,,Holcus mollis L.,.,3,1,.,1,.
,Hedera helix L.,.,.,.,1,.,.,.,2,3,2,.,.,1,+,,,,Ornithogalum pyrenaicum L.,.,.,+,+,.,.
,Holcus mollis L.,.,.,.,.,1,.,1,1,.,2,.,2,.,1,,,,Hedera hibernica (G. Kirchn.) Bean,.,.,.,2,.,1
,Ornitogalum pyrenaicum,.,.,.,.,.,+,+,.,.,.,.,+,.,+,,,,Genista falcata Brot.,.,.,.,.,1,2
,Physospermum cornubiense (L.) DC.,.,.,.,.,.,.,.,1,.,.,1,.,.,+,,,,Physospermum cornubiense (L.) DC.,.,.,.,.,3,2
,Quercus Xandegavensis Hy,.,.,.,.,.,.,.,+,.,.,+,.,.,+,,,,Euphorbia amygdaloides L.,.,.,.,.,+,+
,Genista falcata Brot.,.,.,.,.,.,.,.,.,.,.,+,.,1,+,,,,Quercus robur L. [sub],.,.,.,.,2,3
,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,.,.,.,.,.,.,1,+,.,.,.,.,,,,Castanea sativa Mill.,.,.,.,.,1,1
,Lonicera periclymenum L.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,,,,Quercus Xandegavensi subsp. subandegavens,.,.,.,1,.,.
,Polygonatum odoratum (Mill.) Druce,.,.,.,.,.,.,.,.,.,.,+,.,.,+,,,,Polygonatum odoratum (Mill.) Druce,.,.,.,.,1,.
,Euphorbia amygdaloides L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,Quercus Xandegavensis subsp. henriquesii,.,.,.,.,.,1
,Quercus robur L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,Ruscus aculeatus L.,2,2,.,1,2,1
,Daphne gnidium L.,+,1,2,2,+,1,1,1,+,.,+,1,.,+,,,,Teucrium scorodonia L.,1,1,+,1,1,.
,Ruscus aculeatus L.,2,.,3,2,1,.,.,1,3,+,+,1,1,.,,,,Phillyrea angustifolia L.,1,1,.,1,.,+
,Arum italicum Mill. subsp. neglectum (Towns.) Prime,1,2,3,1,1,.,+,.,+,1,.,1,.,.,,,,Daphne gnidium L.,.,2,1,1,1,.
,Rubia peregrina L.,.,1,.,+,1,.,.,1,1,1,.,+,1,.,,,,Quercus suber L.,1,.,.,2,.,+
,Quercus suber L.,.,.,1,1,1,.,.,.,+,.,.,+,+,1,,,,Rubia peregrina L.,.,.,.,1,1,1
,Arbutus unedo L.,.,.,.,2,1,.,.,.,.,.,2,.,3,.,,,,Osyris alba L.,1,.,.,.,2,.
,Teucrium scorodonia L.,.,.,.,.,+,+,.,.,.,.,1,1,.,.,,,,Paeonia broteri Boiss. & Reut. [sub],.,.,1,+,.,.
,Rhamnus alaternus L.,.,.,.,.,+,.,.,1,.,.,.,.,.,1,,,,Arum italicum Mill. subsp. neglectum (Towns.) Prime,.,.,+,+,.,.
,Osyris alba L.,.,.,.,.,.,.,.,.,.,.,2,+,.,+,,,,Arbutus unedo L.,.,.,.,.,1,3
,Asplenium onopteris L.,.,.,.,+,.,.,.,.,2,.,.,.,.,.,,,,Asparagus acutifolius L.,.,.,2,.,.,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,.,.,.,.,+,.,.,+,.,.,.,.,,,,Quercus lusitanica Lam.,.,.,.,2,.,.
,Quercus broteroi (Cout.) Rivas-Martínez,.,.,.,.,.,.,.,+,.,+,.,.,.,.,,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi,.,.,+,.,.,.
,Asparagus aphyllus L.,.,.,.,.,.,.,.,1,.,.,.,.,.,1,,,,Asplenium onopteris L.,.,.,.,+,.,.
,Asparagus acutifolius L.,.,.,.,.,.,.,2,.,.,.,.,1,.,.,,,,Quercus broteroi (Cout.) Rivas-Martínez,.,.,.,+,.,.
,Smilax aspera L. [sub],.,.,.,.,2,.,.,.,.,2,.,.,.,.,,,,Asparagus aphyllus L.,.,.,.,1,.,.
,Pyrus bourgaeana Decne.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,Smilax aspera L.,.,.,.,1,.,.
,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,Pyrus bourgaeana Decne.,.,.,.,1,.,.
,Viburnum tinus L.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,,,,Viburnum tinus L.,.,.,.,+,.,.
,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,Laurus nobilis L.,.,.,.,+,.,.
,Laurus nobilis L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,Quercus rotundifolia Lam.,.,.,.,+,.,.
,Quercus rotundifolia Lam.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,Crataegus monogyna Jacq. [sub],+,1,2,2,.,.
,Quercus lusitanica Lam.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,Asphodelus albus Mill.,2,.,+,+,+,1
,Phillyrea angustifolia L.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,2,1,.,3,.
,Rhaponticoides africana (Lam.) M.V.Agab. & Greuter [sub],.,.,.,.,.,.,.,.,.,.,2,.,.,.,,,,Silene latifolia Poir.,+,1,+,1,.,.
,Rubus ulmifolius Schott,.,2,1,1,+,1,.,+,+,3,.,1,1,1,,,,Rubus ulmifolius Schott,.,2,+,2,1,1
,Crataegus monogyna Jacq.,2,2,2,.,1,2,2,2,.,2,.,2,.,2,,,,Tamus communis L.,.,1,1,2,.,1
,Cytisus striatus (Hill) Rothm. [sub],1,1,+,1,.,+,+,.,.,.,1,+,+,1,,,,Conopodium arvense (Coss.) Calest.,.,1,+,1,.,1
,Clinopodium vulgare L.,1,.,+,1,+,.,+,1,1,1,.,2,1,.,,,,Aristolochia paucinervis Pomel,.,2,1,+,+,2
,Asphodelus albus Mill.,+,1,.,2,.,+,.,1,1,2,.,+,1,.,,,,Digitalis thapsi L.,+,+,.,.,.,+
,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],1,1,1,2,.,.,.,1,+,1,.,+,.,.,,,,Urginea fugax (Moris) Steinh. [sub],+,2,+,.,.,.
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],+,2,2,1,1,.,.,.,2,3,.,.,1,.,,,,Thapsia villosa L.,1,.,+,.,.,+
,Thapsia villosa L.,1,.,1,1,.,+,.,.,+,.,1,.,+,1,,,,Bryonia dioica Jacq.,+,.,1,1,.,.
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,+,+,+,.,.,.,.,+,.,.,+,.,.,,,,Cytisus grandiflorus (Brot.) DC.,+,.,.,.,+,1
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,+,1,.,1,.,2,1,1,.,.,,,,Cistus psilosepalus Sweet,+,.,.,1,1,.
,Linaria triornithophora (L.) Willd.,.,.,.,1,.,.,+,.,+,.,1,+,1,.,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],+,.,.,.,+,1
,Aristolochia paucinervis Pomel,.,.,.,.,+,1,1,1,.,.,.,2,2,.,,,,Malva tournefortiana L.,.,+,+,.,.,+
,Hypericum perforatum L.,.,.,.,.,.,+,+,+,.,+,1,+,.,.,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,+,.,+,+
