,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,,,,1,2,3,4,,,,1,2,3,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11
,Quercus pyrenaica Willd.,5,5,4,4,4,4,3,3,1,,,Quercus pyrenaica Willd.,4,4,3,4,3,3,2,2,1,,,Quercus pyrenaica Willd.,2,3,3,2,4,4,3,3,3,3,3,2,,,Quercus pyrenaica Willd.,3,5,4,4,4,3,,,Quercus pyrenaica Willd.,3,3,4,4,,,Quercus pyrenaica Willd.,4,4,3,,,Quercus pyrenaica Willd.,4,4,4,3,4,5,,,Quercus pyrenaica Willd.,4,4,3,3,4,3,3,3,4,3,,,Quercus pyrenaica Willd.,2,1,3,2,3,3,+,3,3,2,1,,A,Acer monspessulanum L.,2,.,(+),+,.,.,.,.,.,.,.,.,,,Quercus pyrenaica Willd.,3,4,4,4,4,3,4,2,3,4,3
,Tamus communis L.,1,1,2,1,1,1,.,.,.,,,Tamus communis L.,1,1,2,1,1,1,.,.,.,,,Teucrium scorodonia L.,+,1,+,1,1,2,1,+,+,1,.,2,,,Arbutus unedo L.,3,.,2,1,2,2,,,Arbutus unedo L.,+,1,1,1,,,Arbutus unedo L.,3,2,1,,,Holcus mollis L. subsp. mollis,2,+,1,.,1,1,,,Teucrium scorodonia L.,2,2,2,1,.,1,.,1,.,2,,,Brachypodium sylvaticum (Huds.) P. Beauv.,1,1,2,1,2,2,1,1,3,1,2,,h,Agrimonia eupatoria L.,r,.,.,.,.,.,.,.,.,.,.,.,,,Tamus communis L.,1,.,.,.,.,1,+,.,.,+,1
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],1,1,.,1,.,+,.,.,.,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],1,1,.,1,.,+,.,.,.,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,1,+,1,1,1,+,.,.,+,.,.,,,Acer monspessulanum L.,.,1,.,+,.,.,,,Ilex aquifolium L.,1,.,.,.,,,Rubus ulmifolius Schott,1,1,2,,,Daphne gnidium L.,1,+,.,+,1,+,,,Quercus pyrenaica Willd.,.,.,.,.,3,3,.,.,.,2,,,Tamus communis L.,1,1,1,1,1,1,1,2,1,+,1,,h,Allium massaessylum Batt. & Trab. [sub],.,.,.,.,.,.,.,.,.,.,r,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,.,.,1,.,.,.,.,.
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,1,2,1,.,.,1,2,+,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,1,2,1,.,.,1,2,+,,,Epipactis helleborine (L.) Crantz,.,+,1,.,1,.,1,.,.,+,1,+,,,Tamus communis L.,.,.,2,1,.,.,,,Quercus Xfontqueri O. Schwarz,+,.,.,.,,,Tamus communis L.,+,+,1,,,Castanea sativa Mill.,.,2,1,2,.,1,,,Cistus salviifolius L.,4,4,2,4,2,2,3,2,4,2,,,Teucrium scorodonia L.,1,1,+,1,1,.,1,1,2,+,.,,h,Andryala integrifolia L.,.,.,.,.,.,+,.,.,.,.,.,.,,,Hedera helix L.,.,.,.,.,.,.,.,.,.,.,2
,Polygonatum odoratum (Mill.) Druce,.,1,1,2,.,.,.,.,.,,,Polygonatum odoratum (Mill.) Druce,.,1,1,1,.,.,.,.,.,,,Cephalanthera longifolia (L.) Fritsch,.,+,+,.,1,.,.,.,.,.,.,.,,,Blechnum spicant (L.) Roth,.,.,.,.,1,1,,,Rubus ulmifolius Schott,.,.,+,.,,,Aristolochia paucinervis Pomel,+,1,1,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,+,3,.,2,.,1,,,Rubus ulmifolius Schott,2,3,3,3,1,2,2,3,3,2,,,Origanum virens Hoffmanns. & Link,+,+,1,+,1,.,+,1,1,1,.,,A,Arbutus unedo L.,.,2,.,.,.,.,(+),.,.,.,.,.,,,Polygonatum odoratum (Mill.) Druce,.,.,.,.,.,.,.,.,.,.,1
,Aristolochia paucinervis Pomel,.,.,1,.,.,1,.,.,.,,,Aristolochia paucinervis Pomel,.,.,1,.,.,1,.,.,.,,,Crepis lampsanoides (Gouan) Tausch,.,+,+,.,.,.,.,+,.,.,.,.,,,Osmunda regalis L.,.,.,.,.,+,+,,,Erica arborea L.,+,1,1,.,,,Vincetoxicum nigrum (L.) Moench,.,1,+,,,Rubia peregrina L.,2,+,.,.,2,+,,,Quercus suber L.,3,3,3,3,3,3,3,.,3,2,,,Rubus ulmifolius Schott,.,+,1,1,1,1,1,.,1,.,+,,a,Arbutus unedo L.,3,.,2,(+),.,+,.,2,r,1,2,.,,,Quercus suber L.,.,.,.,.,.,+,+,1,1,1,1
,Luzula forsteri (Sm.) DC. in Lam. & DC.,1,.,2,.,.,+,1,.,.,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,1,.,2,.,.,+,1,.,.,,,Phillyrea angustifolia L.,1,1,+,1,+,+,1,2,+,1,1,1,,,Cistus ladanifer L. [sub],+,.,1,+,+,1,,,Luzula forsteri (Sm.) DC. subsp. cantabrica P. Monts. [sub],1,.,1,1,,,Crataegus monogyna Jacq.,+,.,.,,,Tamus communis L.,1,1,.,+,.,+,,,Crataegus monogyna Jacq.,3,3,2,3,.,3,1,2,2,2,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,1,+,1,1,.,2,.,+,.,,h,Arenaria montana L. subsp. montana,.,.,.,.,.,.,.,.,.,.,r,.,,,Daphne gnidium L.,.,.,1,.,.,+,.,2,+,.,+
,Rubus ulmifolius Schott,.,.,.,1,1,.,.,.,.,,,Rubus ulmifolius Schott,.,.,.,1,1,.,.,.,.,,,Arbutus unedo L.,.,+,1,1,1,2,3,1,1,2,2,2,,,Erica arborea L.,1,.,2,.,2,1,,,Daphne gnidium L.,1,+,+,.,,,Quercus faginea Lam. subsp. faginea,2,2,3,,,Teucrium scorodonia L. subsp. scorodonia,+,.,.,+,+,+,,,Tamus communis L.,2,.,2,1,2,1,2,1,2,1,,,Crataegus monogyna Jacq.,.,+,+,1,1,.,.,.,.,.,+,,h,Aristolochia paucinervis Pomel,.,.,.,.,.,.,.,.,.,.,.,r,,,Ruscus aculeatus L.,.,.,.,.,.,.,.,.,+,1,1
,Crataegus monogyna Jacq.,1,.,.,.,1,.,.,.,.,,,Crataegus monogyna Jacq.,1,.,.,.,1,.,.,.,.,,,Erica arborea L.,+,+,1,1,1,1,.,1,+,.,1,.,,,Daphne gnidium L.,.,+,2,+,.,1,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,1,1,.,,,Erica arborea L.,2,+,1,,,Ruscus aculeatus L.,3,1,.,.,3,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,1,1,2,1,2,2,1,2,2,,,Hedera helix L.,.,.,1,1,2,3,.,.,3,.,.,,a,Asparagus acutifolius L.,.,.,.,.,.,.,.,.,r,r,.,r,,,Cytisus striatus (Hill) Rothm.,3,.,1,+,+,.,1,1,.,+,.
,Castanea sativa Mill.,1,1,2,+,.,.,1,.,.,,,Castanea sativa Mill.,1,1,2,+,.,.,1,.,.,,,Rubia peregrina L.,1,.,1,+,.,1,2,1,.,1,1,1,,,Quercus rotundifolia Lam.,+,.,1,+,1,.,,,Erica australis L.,1,+,+,.,,,Paeonia broteri Boiss. & Reut. [sub],2,+,1,,,Arbutus unedo L.,.,2,2,1,.,.,,,Origanum virens Hoffmanns. & Link,2,2,1,2,1,1,.,.,2,2,,,Clinopodium gr. vulgare L. [sub],.,.,.,.,.,1,1,.,1,1,1,,h,Asphodelus albus Mill.,1,r,.,.,+,+,+,.,.,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,3,3,3,1,2,.,4,2,.
