,,1,2,3,4,5,6,7,8,9
,Quercus marianica,4,4,2,3,4,3,4,3,3
,Avenella stricta,2,2,2,1,1,2,1,1,+
,Quercus suber L.,+,+,+,+,+,.,1,.,1
,Luzula forsteri (Sm.) DC. subsp. baetica P. Monts.,1,1,1,1,1,1,1,.,1
,Quercus broteroi (Cout.) Rivas-Martínez,1,1,2,1,+,+,1,1,3
,Quercus robur L. [sub],1,2,+,+,.,.,2,+,.
,Quercus lusitanica Lam.,1,.,.,+,.,.,.,.,.
,Quercus gaditana,.,.,.,.,.,.,1,1,.
,Quercus coccifera L. [sub],.,.,.,.,.,.,.,+,1
,Olea europea subsp. sylvestris,+,1,+,+,+,1,1,1,1
,Smilax aspera L.,1,.,1,2,2,1,1,1,1
,Rubia peregrina L.,1,1,1,1,1,.,1,2,+
,Ruscus aculeatus L.,2,2,.,1,3,3,1,2,2
,Pyrus bourgaeana Decne.,1,+,1,+,+,.,1,+,.
,Carex dystachia,1,1,3,1,.,.,.,1,1
,Rhamnus alaternus L.,.,1,2,.,2,1,1,.,1
,Asplenium onopteris L.,.,1,2,1,2,+,.,.,2
,Viburnum tinus L.,.,.,.,.,.,.,.,.,+
,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,1
,Quercus Xbeturica,+,.,+,.,.,.,1,.,.
,Daphne gnidium L.,+,.,+,.,+,.,.,.,+
,Sanguisorba hybrida (L.) Font Quer,+,.,+,.,.,.,.,1,.
,Hedera maderensis K. Koch ex A. Rutherf. subsp. iberica McAllister,.,1,.,3,.,2,.,.,1
,Lonicera implexa Aiton,.,.,.,.,+,.,1,1,.
,Quercus Xsubandegavensis,.,.,+,.,.,.,.,+,.
,Phillyrea latifolia L.,.,.,.,.,1,.,.,.,1
,Arisarum simorrhinum Durieu,.,+,.,.,.,.,.,.,1
,Arbutus unedo L.,2,2,2,3,3,2,3,3,1
,Erica arborea L.,2,2,1,1,2,2,2,2,2
,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],.,+,2,+,+,1,1,.,1
,Asphodelus aestivus Brot.,+,+,+,.,.,1,1,.,+
,Pteridium aquilinum (L.) Kuhn in Kerst.,+,.,1,+,.,2,.,.,1
,Genista triacanthos Brot.,1,+,+,+,.,1,1,.,+
,Phillyrea angustifolia L.,.,.,.,1,1,1,1,1,+
,Rubus ulmifolius Schott,.,+,.,.,+,+,.,+,+
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,1,+,1,.,1,1,.,1
,Brachypodium phoenicoides (L.) Roem. & Schult.,1,2,3,1,.,.,.,.,2
,Lavandula viridis L'Hér.,1,2,.,.,.,.,1,1,+
,Crataegus monogyna Jacq. [sub],+,+,+,.,.,+,1,.,1
,Thapsia villosa L.,+,+,1,+,.,.,.,.,+
,Holcus mollis L.,1,3,.,1,1,1,.,+,.
,Pistacia lentiscus L.,1,1,.,.,1,.,.,1,+
,Ulex minor Roth,+,+,+,+,.,+,.,.,+
,Cynara algarbiensis Coss. ex Mariz,+,+,.,+,+,.,.,.,+
,Brachypodium sylvaticum (Huds.) P. Beauv.,.,+,1,+,1,1,.,.,1
,Arum italicum Mill. subsp. neglectum (Towns.) Prime,.,1,2,1,.,1,.,.,1
,Erica australis L.,+,1,.,1,.,.,.,.,.
,Leontodon tuberosus L.,.,.,.,.,.,.,.,.,1
,Teucrium scorodonia L.,.,.,.,.,.,.,1,.,1
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,.,.,.,1,.,+
,Calamintha nepeta (L.) Savi,.,.,+,.,+,.,.,.,+
,Digitalis thapsi L.,.,.,.,.,.,.,.,+,+
,Phlomis purpurea L.,1,1,1,.,.,.,.,1,.
,Campanula rapunculus L.,+,.,.,+,.,.,1,.,.
,Dittichia viscosa subsp. revoluta,+,.,+,.,+,+,.,.,.
,Erophaca baetica (L.) Boiss.,+,.,+,+,+,.,.,.,.
,Lavandula Xalportelensis,.,.,+,.,.,.,1,.,+
,Myrtus communis L.,.,.,.,1,1,.,1,1,.
,Magydaris panacifolia (Vahl) Lange in Willk. & Lange,.,+,.,.,.,.,.,+,1
,Osyris alba L.,.,.,+,.,.,1,1,.,.
,Bellis sylvestris Cirillo,.,.,+,.,+,.,.,.,+
,Tamus communis L.,1,.,.,.,.,.,.,.,1
,Arrhenatherum album (Vahl) W. D. Clayton,+,.,.,.,.,.,1,.,.
,Rosa canina L.,.,+,.,.,.,.,.,.,+
,Geum sylvaticum Pourr.,.,.,1,.,.,.,.,.,+
,Nepa boivinii (Webb) Webb [sub],.,.,+,.,.,.,.,.,+
,Asparagus aphyllus L.,.,.,.,1,+,.,.,.,.
,Quercus coccifera L.,.,.,.,.,2,1,.,.,.
,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,+,.,.,.,+
,Scolymus hispanicus L. subsp. occidentalis F.M. Vázquez,.,.,.,.,.,+,1,.,.
,Scilla monophyllos Link,.,.,.,.,.,.,1,.,+
,Bupleurum fruticosum L.,.,.,.,.,.,.,1,.,+
,Adenocarpus anisochillus,.,.,.,.,.,.,1,.,.
,Cistus populifolius L.,.,.,.,.,.,.,.,.,+
,"Euphorbia paniculata Desf. subsp. monchiquensis (Franco & P. Silva) Vicens, Molero & C. Blanché",.,.,.,.,.,.,.,.,1
,Cistus ladanifer L. [sub],.,.,.,.,.,.,.,+,.
,Origanum virens Hoffmanns. & Link,.,+,.,.,.,.,.,.,.
,Clinopodium vulgare L.,+,.,.,.,.,.,.,.,.
