,,1,,,,1,,,,1,2,3,4,5,6,7,8,9
,Quercus lusitanica Lam.,5,,,Quercus lusitanica Lam.,5,,,Quercus lusitanica Lam.,3,4,3,3,4,3,4,4,4
,Bupleurum acutifolium Boiss.,2,,,Bupleurum acutifolium Boiss.,2,,,Centaurea crocata Franco,1,.,2,1,1,+,+,1,1
,Scilla monophyllos Link,1,,,Scilla monophyllos Link,1,,,Serratula monardii var. algarbiensis,1,.,2,1,1,+,+,1,1
,Centaurea crocata Franco,+,,,Centaurea crocata Franco,+,,,Rhaponticoides fraylensis (Sch. Bip. ex Nyman) M.V. Agab. & Greuter [sub],.,2,1,1,.,.,+,+,.
,Smilax aspera L.,+,,,Smilax aspera L.,+,,,Phillyrea angustifolia L.,.,+,.,.,2,3,1,.,2
,Asparagus aphyllus L.,+,,,Asparagus aphyllus L.,+,,,Arbutus unedo L.,+,.,.,.,2,1,1,1,.
,Celtica gigantea (Link) J.M. Vázquez & Barkworth,1,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],1,,,Myrtus communis L.,.,+,.,+,.,+,1,.,1
,Asphodelus lusitanicus Cout.,1,,,Asphodelus lusitanicus Cout.,1,,,Asparagus aphyllus L.,+,.,.,+,.,1,+,+,.
,Erica scoparia L.,+,,,Erica scoparia L.,+,,,Quercus suber L.,+,+,+,.,.,+,.,1,.
,Cistus ladanifer L. [sub],+,,,Cistus ladanifer L. [sub],+,,,Scilla monophyllos Link,.,1,.,.,+,.,+,+,+
,Pterospartum tridentatum (L.) Willk. in Willk. & Lange,+,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange,+,,,Daphne gnidium L.,+,.,+,+,.,.,.,.,+
,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],+,,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],+,,,Euphorbia transtagana Boiss.,.,.,2,2,.,.,.,.,+
,Urginea fugax (Moris) Steinh. [sub],+,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],+,,,Rhamnus alaternus L.,.,+,.,.,.,1,.,.,+
,,,,,,,,,Rubia peregrina L.,.,+,.,.,.,.,+,+,.
,,,,,,,,,Erica arborea L.,.,.,.,.,+,.,.,.,1
,"Arsénio, P. 2011 Qualidade da Paisagem e Fitodiversidade. Contributo para o Ordenamento e Gestão de áreas costeiras de elevado valor natural. Tesis. Instituto Superior de Agronomia. Universidade Técnica de Lisboa. T.TX3",,,,"Arsénio, P.; Neto, C.; Monteiro-Henriques, T.; Costa, J.C. 2009 Guia geobotânico da excursão ALFA 2009 ao litoral alentejano Quercetea 9: T.TX3",,,,Scorzonera hispanica L. [sub],.,.,1,.,.,.,.,.,.
,,,,,,,,,Anemone palmata L.,.,.,.,.,+,.,.,.,.
,,,,,,,,,Olea europea var. sylvestris,.,.,.,.,.,+,.,.,.
,,,,,,,,,Nepa boivinii (Webb) Webb [sub],1,.,1,1,+,1,+,.,1
,,,,,,,,,Cistus salviifolius L. [sub],+,+,.,+,.,.,+,1,1
,,,,,,,,,Genista triacanthos Brot.,.,1,+,.,+,+,+,.,+
,,,,,,,,,Erica umbellata Loefl. ex L.,+,+,.,.,+,+,1,+,.
,,,,,,,,,Agrostis curtisii Kerguélen,.,1,.,1,+,.,1,.,+
,,,,,,,,,Cynara algarbiensis Coss. ex Mariz,1,+,+,.,.,.,+,+,.
,,,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,+,.,.,+,.,1,+,+
,,,,,,,,,Cistus ladanifer L. [sub],+,.,.,+,.,.,.,1,1
,,,,,,,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],+,+,.,.,+,.,.,.,1
,,,,,,,,,Pulicaria odora (L.) Rchb.,+,.,+,.,.,+,.,+,.
,,,,,,,,,Erica scoparia L.,.,+,.,.,+,.,+,+,.
,,,,,,,,,Chamaspartium tridentatum,.,+,+,.,.,.,.,+,+
,,,,,,,,,Calluna vulgaris (L.) Hull,.,.,+,+,.,.,.,+,+
,,,,,,,,,Ulex argenteus Welw. ex Webb subsp. argenteus,.,.,.,.,.,.,1,1,+
,,,,,,,,,Arrhenatherum album (Vahl) W. D. Clayton,.,1,+,.,.,.,.,.,.
,,,,,,,,,Erica australis L.,.,.,.,.,.,.,+,1,.
,,,,,,,,,Asphodelus ramosus L.,.,.,+,+,.,.,.,.,.
,,,,,,,,,Tuberaria lignosa (Sweet) Samp.,.,.,+,.,.,.,.,.,+
,,,,,,,,,Stachys officinalis (L.) Trevis. [sub],.,.,.,.,+,.,.,.,+
,,,,,,,,,Cistus crispus L.,.,.,.,.,.,.,.,+,+
,,,,,,,,,Drosophyllum lusitanicum (L.) Link,1,.,.,.,.,.,.,.,.
,,,,,,,,,Avenula hackelli subsp. stenophylla,.,.,.,+,.,.,.,.,.
,,,,,,,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,.,.,.,.,+,.,.,.
,,,,,,,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,.,.,+,.,.
,,,,,,,,,Thymelea villosa,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
