,,1
,Quercus canariensis Willd.,2
,"Euphorbia paniculata Desf. subsp. monchiquensis (Franco & P. Silva) Vicens, Molero & C. Blanché [sub]",1
,Arbutus unedo L.,+
,Paeonia broteri Boiss. & Reut. [sub],+
,Luzula forsteri (Sm.) DC. subsp. cantabrica P. Monts. [sub],+
,Daphne gnidium L.,+
,Viburnum tinus L.,1
,Ruscus aculeatus L.,+
,Castanea sativa Mill.,3
,Rubus ulmifolius Schott,2
,Pteridium aquilinum (L.) Kuhn in Kerst.,2
,Cytisus scoparius (L.) Link,2
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],1
,Thapsia villosa L.,1
,Agrostis castellana Boiss. & Reut.,1
,Holcus lanatus L.,1
,Rumex papillaris Boiss. & Reut.,1
,Origanum virens Hoffmanns. & Link,+
,Hedera helix L.,+
,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],+
,Asphodelus aestivus Brot.,+
,Digitalis purpurea L. subsp. purpurea [sub],+
,Campanula lusitanica L. in Loefl.,+
,Geranium purpureum Vill.,+
,Iris foetidissima L.,+
,Silene latifolia Poir.,+
