,,1,2,3,4,5,6,,,,1,2,3,,,,1,2,3,4,5,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,88,89,90,91,92,93
,Quercus lusitanica Lam.,3,4,3,4,2,2,,,Quercus lusitanica Lam.,4,4,4,,,Quercus lusitanica Lam.,3,3,3,4,4,,,Quercus lusitanica Lam.,4,3,4,5,4,4,3,4,3,,,Quercus lusitanica Lam.,3,4,5,4,4,3,3,3,4,3,3,3,4,4,3,3,3,4,3,3,3,2,4,3,3,4,4,5,,A,Pistacia lentiscus L.,.,.,.,.,.,.
,Phillyrea angustifolia L.,+,+,+,1,.,2,,,Ulex airensis Espírito Santo & al.,3,1,2,,,Quercus coccifera L.,1,1,1,2,2,,,Jurinea humilis (Desf.) DC. [sub],.,+,2,2,1,1,1,.,.,,,Myrtus communis L.,.,.,.,.,.,3,1,3,1,1,+,+,1,1,1,+,1,2,2,+,.,1,.,2,+,1,1,1,,a,Pistacia lentiscus L.,.,.,.,.,.,.
,Daphne gnidium L.,1,1,+,.,2,1,,,Myrtus communis L.,2,2,1,,,Quercus suber L.,3,3,2,.,2,,,Myrtus communis L.,+,+,1,.,.,.,.,.,.,,,Asparagus aphyllus L.,.,.,+,+,+,1,+,+,+,+,.,.,.,.,1,+,1,1,+,1,1,+,1,+,.,+,.,+,,,Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman [sub],.,.,.,.,.,.
,Quercus coccifera L.,.,+,2,1,.,2,,,Erica scoparia L.,2,2,1,,,Arbutus unedo L.,2,1,.,3,3,,,Quercus suber L.,1,+,.,.,.,.,.,.,.,,,Jurinea humilis (Desf.) DC. [sub],.,1,.,1,+,.,3,+,1,.,1,.,.,.,1,1,+,2,1,.,1,.,.,3,2,+,1,.,,,Myrtus communis L.,2,.,+,+,.,1
,Quercus suber L.,+,+,+,.,.,+,,,Pistacia lentiscus L.,+,1,1,,,Lonicera implexa Aiton,1,1,.,2,2,,,Daphne gnidium L.,+,.,.,.,.,.,.,+,.,,,Daphne gnidium L.,.,.,.,2,+,+,.,1,+,1,+,1,1,.,+,1,.,.,.,.,.,1,2,2,1,.,+,1,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,.,.,.,.
,Arbutus unedo L.,+,+,.,+,.,2,,,Daphne gnidium L.,1,+,1,,,Daphne gnidium L.,.,1,1,2,2,,,Scilla monophyllos Link,.,.,.,.,.,.,.,+,+,,,Scilla monophyllos Link,1,+,.,.,.,+,2,.,.,.,1,.,+,.,+,1,.,.,.,+,1,+,1,+,+,.,.,.,,,Quercus coccifera L.,.,.,.,.,.,.
,Jurinea humilis (Desf.) DC. [sub],.,+,.,+,+,.,,,Quercus coccifera L.,1,+,+,,,Osyris alba L.,2,2,.,.,.,,,Anemone palmata L.,1,.,.,.,.,.,.,.,.,,,Phillyrea angustifolia L.,2,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,1,+,2,1,.,.,+,2,1,1,1,2,,,Quercus Xauzandrii Gren. & Godr. [sub],.,.,.,.,.,.
,Osyris alba L.,.,1,.,+,.,1,,,Phillyrea angustifolia L.,.,2,1,,,Rubia peregrina L.,1,1,.,.,.,,,Rubia peregrina L.,+,.,.,.,.,.,.,.,.,,,Quercus suber L.,.,.,+,.,.,3,.,1,.,+,.,+,.,.,.,.,+,2,1,.,+,1,1,.,.,+,.,.,,,Calicotome villosa (Poir.) Link,.,.,.,.,.,.
,Serratula aristata,.,1,.,+,.,.,,,Asparagus aphyllus L.,1,.,+,,,Olea europaea L.,+,2,.,.,.,,,Melica minuta L. [sub],.,.,.,.,+,.,.,.,.,,,Rubia peregrina L. [sub],.,.,.,.,1,+,1,+,+,.,.,1,.,.,+,.,.,.,.,+,.,+,.,.,.,+,+,.,,,Quercus lusitanica Lam.,3,4,3,3,5,4
,Ruscus aculeatus L.,.,+,.,+,.,.,,,Smilax aspera L.,+,+,.,,,Phillyrea angustifolia L.,.,.,.,2,2,,,Euphorbia transtagana Boiss.,.,.,+,.,.,.,.,.,.,,,Rhamnus alaternus L.,.,.,.,.,+,3,1,+,+,.,.,.,.,.,+,.,.,.,+,.,.,2,.,+,1,.,.,.,,,Juniperus navicularis Gand.,.,.,.,.,.,.
,Asparagus aphyllus L.,.,.,.,.,+,+,,,Scilla monophyllos Link,+,+,.,,,Scilla monophyllos Link,.,.,.,.,1,,,Osyris alba L.,.,.,.,2,.,.,.,.,.,,,Euphorbia transtagana Boiss.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,+,.,+,.,.,.,1,.,+,+,+,.,+,.,,,Corema album (L.) D. Don,.,.,.,.,.,.
,Euphorbia transtagana Boiss.,.,.,+,.,.,.,,,Arbutus unedo L.,.,+,.,,,Myrtus communis L.,.,.,.,.,2,,,Calluna vulgaris (L.) Hull,1,2,1,1,3,1,1,.,1,,,Arbutus unedo L.,.,.,+,.,.,.,.,.,.,.,.,.,.,1,.,+,1,.,+,2,.,.,.,.,.,.,1,1,,,Clematis cirrhosa L.,.,.,.,.,.,.
,Pyrus bourgaeana Decne.,+,.,.,.,.,.,,,Erica umbellata Loefl. ex L.,.,+,.,,,Cistus ladanifer L. [sub],2,2,2,2,3,,,Ulex jussiaei Webb,1,+,1,1,1,+,.,1,1,,,Anemone palmata L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,+,1,+,+,.,.,,,Phlomis purpurea L.,.,.,.,.,.,.
,Pistacia lentiscus L.,.,.,.,.,2,.,,,Lonicera implexa Aiton,.,+,.,,,Genista triacanthos Brot.,2,2,2,3,3,,,Erica scoparia L.,2,.,1,1,3,+,.,+,+,,,Pistacia lentiscus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,3,1,1,.,.,+,.,,,Asparagus albus L.,.,.,.,.,.,.
,Erica scoparia L.,3,3,2,2,4,3,,,Pinus pinaster Aiton,4,3,3,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],2,2,1,1,2,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange [sub],.,1,1,+,1,1,1,2,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,.,+,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,+,.,,,Aristolochia baetica L.,.,.,.,.,.,.
,Cistus salviifolius L. [sub],+,+,+,+,.,+,,,Calluna vulgaris (L.) Hull,1,1,+,,,Cistus salviifolius L.,2,2,2,2,3,,,Genista triacanthos Brot.,.,1,2,1,1,.,+,+,1,,,Quercus coccifera L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,2,.,2,.,.,.,.,.,.,.,.,,,Pistacia terebinthus L.,.,.,.,.,.,.
