,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,1,2,3,4,5,6,7,8,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10
,Quercus pyrenaica Willd.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,,,Quercus pyrenaica Willd.,5,5,5,5,5,5,5,5,,,Quercus pyrenaica Willd.,3,5,3,,,Quercus pyrenaica Willd.,5,,,Quercus pyrenaica Willd.,5,5,3,4,,,Quercus pyrenaica Willd.,5,5,4,3,5,5,4,5,4,5
,Teucrium scorodonia L.,+,+,+,.,+,+,+,2,+,+,+,+,+,+,+,+,+,.,.,+,+,,,Genista falcata Brot.,1,1,2,2,2,3,1,+,,,Genista falcata Brot.,+,2,2,,,Genista falcata Brot.,2,,,Holcus mollis L.,1,1,1,1,,,Crataegus monogyna Jacq. [sub],+,+,.,.,.,.,.,.,.,.
,Clinopodium gr. vulgare L. [sub],+,+,+,+,+,+,+,+,+,.,+,+,+,+,+,+,+,.,.,.,+,,,Melampyrum pratense L.,1,+,+,1,1,+,1,+,,,Festuca heterophylla Lam.,2,1,1,,,Festuca heterophylla Lam.,1,,,Physospermum cornubiense (L.) DC.,+,1,1,1,,,Quercus robur L.,.,.,.,.,.,.,.,+,.,.
,Stellaria holostea L.,+,.,+,+,+,+,+,+,+,+,.,+,+,+,+,+,.,.,+,.,+,,,Cruciata glabra (L.) Ehrend.,1,1,1,1,1,2,1,+,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,+,1,,,Melampyrum pratense L.,1,,,Genista falcata Brot.,+,+,r,1,,a,Quercus pyrenaica Willd.,2,1,2,3,2,2,1,1,2,1
,Poa nemoralis L.,1,1,.,.,.,+,+,1,1,+,1,+,+,1,1,+,.,.,.,.,.,,,Festuca heterophylla Lam.,1,+,1,.,1,1,+,+,,,Clinopodium vulgare L.,+,+,1,,,Clinopodium vulgare L.,+,,,Melittis melisophyllum,+,1,+,+,,,Physospermum cornubiense (L.) DC.,+,1,+,1,+,.,1,1,1,.
,Holcus mollis L.,1,1,+,+,+,+,1,+,+,.,4,1,1,.,.,.,.,.,.,.,1,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,+,+,+,+,,,Melampyrum pratense L.,1,1,.,,,Doronicum plantagineum L.,+,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,1,+,+,,,Genista falcata Brot.,(+),+,.,r,.,.,.,.,1,.
,Crepis lampsanoides (Gouan) Tausch,+,.,+,+,+,+,+,+,.,.,+,+,.,+,+,.,+,.,.,.,+,,,Doronicum plantagineum L.,+,+,.,.,.,.,.,.,,,Stellaria holostea L.,1,.,1,,,Prunella grandiflora (L.) Scholler subsp. pyrenaica (Gren. & Godron) A. Bolòs [sub],+,,,Primula acaulis (L.) L. [sub],+,+,+,.,,,Castanea sativa Mill.,r,+,.,.,.,.,.,.,.,+
,Helleborus foetidus L.,+,.,.,+,+,1,1,1,.,+,+,.,.,+,+,+,.,.,+,.,.,,,Clinopodium vulgare L.,.,.,.,.,+,1,.,.,,,Physospermum cornubiense (L.) DC.,.,.,2,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,,,Poa nemoralis L.,+,+,.,+,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz [sub],.,.,.,r,+,+,.,.,.,.
,Melittis melissophyllum L.,.,.,.,.,+,1,+,.,+,+,.,.,+,+,+,+,.,.,+,+,.,,,Prunella grandiflora (L.) Scholler subsp. pyrenaica (Gren. & Godron) A. Bolòs,.,.,.,.,.,.,+,+,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz [sub],.,.,1,,,Helictochloa marginata (Lowe) Romero Zarco [sub],1,,,Melampyrum pratense L.,1,1,.,1,,,Geum sylvaticum Pourr.,.,.,.,.,.,+,.,.,.,.
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,+,.,.,.,.,+,.,.,+,.,+,+,.,+,+,+,+,+,.,.,,,Festuca elegans Boiss.,2,1,2,3,1,+,2,3,,,Omphalodes nitida (Willd.) Hoffmanns & Link,.,.,1,,,Cruciata glabra (L.) Ehrend.,1,,,Teucrium scorodonia L.,.,2,1,+,,,Holcus mollis L.,1,1,1,1,1,2,1,1,1,2
,Primula acaulis (L.) L.,.,.,.,1,.,+,1,1,+,+,+,.,.,+,+,.,+,.,.,.,.,,,Galium aparine L.,+,+,+,1,+,1,1,+,,,Narcissus triandrus L.,.,.,1,,,Erica arborea L.,1,,,Hypericum pulchrum L.,.,+,2,+,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,1,+,+,+,1,.,1,+,r
,Melampyrum pratense L.,.,1,+,.,.,.,+,.,.,+,1,+,+,.,+,.,+,.,.,.,.,,,Halimium umbellatum (L.) Spach,1,.,+,+,1,1,.,.,,,Holcus mollis L.,.,.,+,,,Festuca elegans Boiss.,1,,,Euphorbia angulata Jacq.,.,+,r,2,,,Primula acaulis (L.) L. [sub],+,+,+,+,+,+,.,.,.,+
,Melica uniflora Retz.,.,.,.,+,+,1,+,2,.,.,+,.,.,.,.,1,+,.,+,.,.,,,Luzula campestris (L.) DC.,+,.,.,.,+,+,.,+,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,.,.,,,Genista florida L. [sub],1,,,Crataegus monogyna Jacq. [sub],+,+,.,.,,,Melampyrum pratense L.,1,1,.,.,1,2,.,2,1,2
,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,.,.,+,.,+,.,.,+,+,.,.,.,.,.,+,.,.,.,.,1,,,Cytisus scoparius (L.) Link,.,+,.,+,.,+,.,.,,,Ranunculus nigrescens Freyn,+,.,.,,,Achillea millefolium L.,+,,,Castanea sativa Mill.,r,+,.,.,,,Poa nemoralis L.,+,+,.,.,2,2,.,+,+,2
,Conopodium pyrenaeum (Loisel.) Miégev.,+,.,.,.,.,+,+,.,.,+,+,.,.,+,+,.,.,.,.,.,.,,,Sedum forsterianum Sm. in Sowerby,+,.,+,.,+,.,.,.,,,Erythronium dens-canis L.,+,.,.,,,Agrostis capillaris L.,+,,,Galium rotundifolium L.,.,+,2,.,,,Hypericum pulchrum L.,.,+,+,2,+,+,.,+,+,.
,Physospermum cornubiense (L.) DC.,.,.,+,.,.,.,.,+,.,.,+,.,+,.,.,.,.,.,.,1,+,,,Thymus praecox Opiz subsp. britannicus (Ronniger) J. Holub,.,.,.,+,+,+,.,.,,,Doronicum plantagineum L.,.,+,.,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,+,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,+,+,.,,,Teucrium scorodonia L.,.,2,.,1,1,1,1,+,+,.
,Hedera hibernica (G. Kirchn.) Bean,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,+,+,.,+,.,.,,,Erica arborea L.,.,.,.,.,+,.,+,.,,,Prunella grandiflora (L.) Scholler,.,+,.,,,Conopodium majus (Gouan) Loret in Loret & Barrandon,+,,,Stellaria holoatea,.,r,.,.,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,+,r,+,+,+,.,+,.,.
,Genista falcata Brot.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,1,+,1,.,.,,,Helictochloa marginata (Lowe) Romero Zarco [sub],1,.,+,.,.,.,.,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,1,,,Cytisus scoparius (L.) Link,+,,,Sorbus aucuparia L.,.,.,+,.,,,Euphorbia angulata Jacq.,.,+,+,r,+,+,.,.,2,.
,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,.,.,.,.,.,+,.,+,.,.,+,.,+,+,.,.,.,.,.,,,Jasione montana L.,+,+,.,.,.,.,.,.,,,Geum sylvaticum Pourr.,.,.,+,,,Galium divaricatum Pourr. ex Lam.,+,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz,.,.,r,.,,,Crepis lampsanoides (Gouan) Tausch,.,.,+,.,1,+,+,.,+,+
,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,.,.,.,.,.,+,+,+,.,.,.,.,.,.,+,.,.,.,.,.,.,,,Agrostis capillaris L.,+,.,.,.,.,1,.,.,,,Potentilla montana Brot.,.,.,1,,,Halimium umbellatum (L.) Spach,+,,,Crepis lampsanoides (Gouan) Tausch,.,.,.,+,,,Stellaria holostea L.,.,r,.,.,+,+,2,.,.,.
,Cytisus scoparius (L.) Link,+,+,1,+,+,+,+,1,+,+,1,1,1,+,+,1,1,+,+,3,2,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,+,.,.,.,.,+,.,.,,,Hieracium sabaudum L.,.,.,1,,,Lotus corniculatus L.,+,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens,1,2,1,2,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz [sub],.,.,.,r,+,+,.,.,.,.
,Festuca elegans Boiss. [sub],+,1,+,+,+,1,+,+,2,4,2,2,1,+,.,+,1,2,3,1,.,,,Teesdalia nudicaulis (L.) R. Br. in W.T. Aiton,+,.,+,.,.,.,.,.,,,Potentilla sterilis (L.) Garcke,.,.,+,,,Luzula campestris (L.) DC.,+,,,Galium rivulare Boiss. & Reut.,+,1,.,1,,,Galium rotundifolium L.,.,+,.,2,.,.,.,.,.,.
,Genista florida L. [sub],+,+,+,+,.,+,.,.,+,+,+,+,+,.,.,.,+,+,+,+,.,,,Silene italica (L.) Pers.,.,+,.,.,+,.,.,.,,,Lathyrus niger (L.) Bernh.,.,.,1,,,Jasione montana L.,+,,,Festuca elegans Boiss.,r,+,.,+,,,Potentilla sterilis (L.) Garcke,.,.,.,.,.,+,.,.,.,r
,Galium aparine L.,.,.,+,+,+,+,3,+,+,+,+,+,2,+,+,.,+,+,+,.,.,,,Genista florida L. [sub],1,.,.,.,.,.,.,.,,,Tanacetum corymbosum (L.) Sch. Bip.,.,.,+,,,Sedum forsterianum Sm. in Sowerby [sub],+,,,Lotus corniculatus L.,+,.,+,+,,,Sorbus aucuparia L.,.,.,+,.,.,.,.,.,.,.
,Crataegus monogyna Jacq.,+,.,+,1,+,1,+,1,.,+,+,.,.,.,.,+,.,+,+,+,.,,,Conopodium arvense (Coss.) Calest. [sub],.,+,.,.,.,.,.,.,,,Cruciata glabra (L.) Ehrend.,1,1,1,,,Silene italica (L.) Pers.,+,,,Linaria triornithophora (L.) Willd.,.,2,1,+,,,Geum sylvaticum Pourr.,.,.,.,.,.,+,.,.,.,.
