,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,1,2,3,4,5,,,,1,2,3,4,5,6,7,8,9,10,11,12
,Quercus rotundifolia Lam.,2,3,1,3,,,Quercus rotundifolia Lam.,4,3,4,3,3,4,2,2,3,3,2,,,Quercus rotundifolia Lam.,4,3,2,3,2,4,4,5,5,5,3,5,5,5,5,5,5,5,,,Quercus rotundifolia Lam. [sub],3,3,3,+,.,3,4,4,4,4,1,,,Rubia peregrina L.,2,1,1,+,1,1,1,+,1,1,1,+,1,1,2,1,1,1,1,1,,,Quercus rotundifolia Lam.,4,4,4,4,5,,,Festuca elegans Boiss.,.,3,r,.,+,.,.,.,1,1,1,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1,.,.,2,,,Osyris alba L.,1,2,2,2,+,2,1,2,2,1,1,,,Rubia peregrina L.,1,.,.,+,+,1,.,3,2,.,.,.,+,.,+,+,+,.,,,Arbutus unedo L.,1,2,2,2,1,2,r,+,r,.,+,,,Quercus rotundifolia Lam. [sub],3,3,3,4,4,4,4,+,.,3,1,4,4,5,4,4,4,4,5,5,,,Daphne gnidium L.,1,2,+,1,+,,,Phillyrea angustifolia L.,r,.,.,.,.,1,1,.,.,.,.,1
,Ruscus aculeatus L.,.,1,.,1,,,Asplenium onopteris L.,3,3,2,2,2,3,1,1,2,1,2,,,Daphne gnidium L.,+,+,.,+,+,+,.,1,1,+,.,.,.,.,.,.,1,.,,,Rubia peregrina L.,2,1,1,1,+,1,+,1,.,1,1,,,Arbutus unedo L.,1,2,2,r,+,r,.,2,1,2,+,1,2,.,+,r,2,.,2,.,,,Genista hystrix Lange,3,2,1,3,.,,,Genista falcata Brot.,.,+,+,.,r,.,.,+,.,.,.,.
,Pistacia terebinthus L.,.,.,+,1,,,Ruscus aculeatus L.,2,1,2,3,.,2,1,2,3,+,2,,,Erica arborea L.,1,1,.,+,.,.,.,+,1,1,1,+,.,.,.,.,.,.,,,Ruscus aculeatus L.,2,2,.,.,+,2,2,2,+,+,.,,,Ruscus aculeatus L.,2,2,.,2,2,+,+,.,+,2,.,.,3,r,.,+,+,1,r,2,,,Pimpinella villosa Schousb.,.,.,.,1,+,,,Genista hystrix Lange,.,+,.,.,.,.,.,.,.,.,.,.
,Rubia peregrina L. [sub],.,.,.,+,,,Daphne gnidium L.,.,+,.,1,+,1,1,1,+,1,2,,,Genista hystrix Lange,.,.,1,1,.,.,+,.,.,.,.,+,+,+,.,1,.,+,,,Asplenium onopteris L.,.,.,2,2,2,1,1,2,2,.,+,,,Daphne gnidium L.,.,.,.,+,1,+,+,.,.,+,.,1,+,+,1,1,1,1,+,1,,,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,1,,,Quercus rotundifolia Lam. [sub],4,4,4,4,4,4,4,3,5,5,5,3
,Juniperus oxycedrus L.,2,3,4,2,,,Lonicera etrusca G. Santi,+,.,1,+,1,.,.,.,1,1,1,,,Arbutus unedo L.,1,.,.,+,+,.,+,.,1,.,.,.,.,.,.,.,.,.,,,Daphne gnidium L.,.,.,.,.,.,+,+,1,+,+,.,,,Asplenium onopteris L.,.,.,2,1,2,2,.,2,2,1,+,1,+,.,.,.,2,.,.,2,,,Halimium umbellatum (L.) Spach,2,3,2,.,.,,,Daphne gnidium L.,+,1,+,+,+,+,2,1,.,.,.,r
,Lavandula pedunculata Cav. [sub],2,1,2,1,,,Rubia peregrina L.,.,1,1,2,1,2,.,.,1,.,2,,,Ruscus aculeatus L.,.,+,.,.,.,.,.,1,2,1,.,.,.,.,.,.,.,.,,,Lonicera etrusca G. Santi,.,.,.,.,.,.,.,1,r,2,3,,,Pistacia terebinthus L.,.,.,.,.,2,.,+,.,.,.,r,.,.,+,+,1,1,2,1,+,,,Helictochloa marginata (Lowe) Romero Zarco [sub],1,1,1,.,.,,,Ruscus aculeatus L.,1,2,+,+,1,2,2,.,+,.,.,+
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],+,+,1,1,,,Phillyrea angustifolia L.,.,2,2,1,2,2,.,.,.,.,1,,,Lonicera etrusca G. Santi,.,.,.,+,.,1,.,.,.,.,.,.,.,.,.,.,.,.,,,Quercus suber L.,.,.,.,2,3,.,.,.,.,.,3,,,Lonicera etrusca G. Santi,.,.,.,.,1,r,2,.,.,.,3,2,.,.,2,.,.,.,1,.,,,Lotus corniculatus L.,+,+,+,.,.,,,Asplenium onopteris L.,1,2,2,.,.,r,.,+,+,+,1,1
,Hymenocarpos lotoides (L.) Vis. [sub],1,+,2,+,,,Arbutus unedo L.,.,2,.,.,1,1,+,1,.,2,.,,,Pistacia terebinthus L.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,Pistacia terebinthus L.,.,.,.,.,.,.,.,2,.,+,r,,,Carex distachya Desf.,.,.,.,+,.,2,2,.,.,.,.,.,.,2,r,+,.,.,.,.,,,Tuberaria guttata (L.) Fourr.,1,1,+,.,.,,,Rubia peregrina L.,+,1,.,1,.,+,2,.,.,2,.,1
,Leontodon taraxacoides (Vill.) Mérat,+,1,1,1,,,Pistacia terebinthus L.,.,.,3,2,+,+,.,.,+,.,.,,,Quercus suber L.,1,1,3,2,3,+,+,+,+,+,.,.,.,.,.,.,.,.,,,Carex distachya Desf.,.,.,.,.,.,.,+,.,2,2,.,,,Phillyrea angustifolia L.,.,.,.,r,.,.,.,.,.,2,.,.,.,.,+,1,1,2,.,.,,,Jasione montana L.,+,.,+,.,.,,,Carex distachya Desf.,.,+,2,2,.,.,.,.,.,+,1,.
,Logfia minima (Sm.) Dumort.,1,+,1,+,,,Origanum virens Hoffmanns. & Link,.,.,+,.,.,.,+,+,.,+,+,,,Lavandula sampaoiana,+,1,+,+,+,+,+,.,.,.,+,+,+,1,.,+,+,.,,,Osyris alba L.,.,.,.,.,.,2,.,+,.,.,1,,,Osyris alba L.,.,.,.,.,+,.,.,.,.,2,1,r,.,.,.,.,.,.,.,.,,,Andryala integrifolia L.,+,.,+,.,.,,,Arbutus unedo L.,r,+,r,.,.,.,.,.,.,.,.,2
,Ornithopus compressus L.,1,1,1,+,,,Jasminum fruticans L.,.,.,3,.,+,+,.,.,.,.,.,,,Cytisus scoparius (L.) Link,+,.,2,+,.,.,1,1,.,+,1,1,+,+,1,.,+,2,,,Phillyraea angustifolia,.,.,.,.,.,2,r,.,.,.,.,,,Piptatherum paradoxum (L.) P. Beauv.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,1,.,+,r,+,,,Plantago holosteum Scop.,+,.,+,.,.,,,Lonicera etrusca G. Santi,.,1,r,2,.,.,.,.,.,.,.,.
,Tuberaria guttata (L.) Fourr.,1,+,2,1,,,Genista hystrix Lange,.,.,.,.,2,.,.,.,1,.,.,,,Asplenium adiantum-nigrum L.,1,+,.,.,.,+,.,+,+,+,.,+,+,+,.,+,+,.,,,Erica arborea L.,.,2,1,2,2,1,r,2,1,.,r,,,Asparagus acutifolius L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,r,.,.,.,,,Aira caryophyllea L.,1,1,.,.,.,,,Pistacia terebinthus L.,.,2,.,+,.,r,.,.,.,.,.,.
,Genista hystrix Lange,2,2,.,1,,,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,.,.,+,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,.,+,+,+,.,.,.,.,+,+,+,+,+,+,.,.,1,,,Crataegus monogyna Jacq.,1,1,.,2,+,.,+,.,.,1,+,,,Quercus pyrenaica Willd.,2,+,1,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Cistus ladanifer L.,+,.,.,3,.,,,Osyris alba L.,.,r,.,.,.,.,.,.,.,.,.,.
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,1,.,+,,,Quercus suber L.,.,.,.,.,.,.,2,3,1,2,3,,,Silene nutans L.,.,+,+,.,.,.,1,.,.,+,+,.,+,+,+,+,+,.,,,Dactylis glomerata L.,.,+,1,.,1,.,2,.,2,+,1,,,Quercus suber L.,.,.,.,.,.,.,.,2,3,.,3,.,.,.,.,.,.,.,.,.,,,Agrostis capillaris L.,.,2,1,.,.,,,Vincetoxicum nigrum (L.) Moench,.,.,r,.,.,.,.,.,.,.,.,.
,Vulpia myuros (L.) C.C. Gmel. subsp. sciuroides (Roth) Rouy [sub],2,1,.,+,,,Lonicera periclymenum L.,1,1,1,1,.,1,+,2,1,2,2,,,Clinopodium gr. vulgare L. [sub],.,.,.,.,.,+,.,2,+,+,.,+,+,+,.,+,+,.,,,Teucrium scorodonia L.,1,.,+,1,1,.,+,1,.,.,.,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens,.,.,.,.,.,.,.,.,2,.,.,+,2,.,.,+,1,r,+,.,,,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter [sub],.,.,+,.,1,,,Erica arborea L.,r,2,1,.,.,r,r,1,+,1,+,1
,Senecio lividus L.,+,1,.,+,,,Hedera helix L.,.,1,1,1,.,2,.,2,2,1,2,,,Anarrhinum bellidifolium (L.) Willd.,+,+,.,+,.,.,.,.,.,.,+,.,+,+,+,+,.,.,,,Hedera helix L.,3,2,2,2,2,1,.,.,.,.,.,,,Helleborus foetidus L.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,+,.,.,.,.,,,Hieracium castellanum Boiss. & Reut.,.,.,+,.,+,,,Clinopodium vulgare L.,+,.,+,.,1,+,r,1,.,+,+,2
,Sedum arenarium Brot.,1,+,.,+,,,Teucrium scorodonia L.,1,2,.,1,.,1,1,1,+,+,.,,,Thymus mastichina L.,+,.,.,.,.,.,.,.,.,.,.,+,+,+,+,+,+,+,,,Tamus communis L.,2,+,+,1,.,.,.,r,.,+,.,,,Lithodora diffusa (Lag.) I. M. Johnston,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,2,+,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],1,.,.,.,.,,,Geranium robertianum L.,+,.,.,1,1,2,1,+,2,2,.,r
