,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,,,,,1,2
,Laurus nobilis L.,2,1,2,3,3,2,2,1,2,2,2,,,,Quercus robur L. [sub],2,2
,Polystichum setiferum (Forssk.) Woyn.,2,3,2,2,1,2,2,1,1,1,1,,,,Castanea sativa Mill.,1,3
,Quercus robur L.,3,3,3,2,4,3,3,3,1,4,3,,,,Hedera hibernica (G. Kirchn.) Bean,2,+
,Acer pseudoplatanus L.,3,3,.,2,2,3,2,2,2,1,2,,,,Polystichum setiferum (Forssk.) Woyn.,2,+
,Hedera canariensis Willd.,.,4,3,3,1,2,3,2,1,2,2,,,,Tamus communis L.,2,+
,Corylus avellana L.,.,2,.,.,3,3,+,3,2,3,2,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,1,+
,Fraxinus angustifolia Vahl,.,2,3,1,1,.,2,.,1,1,1,,,,Crataegus monogyna Jacq. [sub],1,+
,Ruscus aculeatus L.,+,2,.,.,2,2,+,1,+,.,+,,,,Omphalodes nitida (Willd.) Hoffmanns & Link,+,+
,Asplenium onopteris L.,1,1,.,1,1,.,.,.,+,+,1,,,,Prunus avium L.,+,+
,Salix atrocinerea Brot.,.,.,2,.,.,1,2,1,3,1,.,,,,Ulmus glabra Huds.,+,+
,Osmunda regalis L.,.,.,2,.,.,1,1,.,1,1,1,,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz,.,1
,Woodwardia radicans (L.) Sm.,1,.,.,2,+,1,.,.,2,.,.,,,,Holcus mollis L. subsp. mollis,.,1
,Alnus glutinosa (L.) Gaertn.,.,.,.,.,.,.,.,1,2,1,1,,,,Laurus nobilis L.,1,.
,Hypericum androsaemum L.,1,.,.,+,.,+,.,+,.,+,.,,,,Melittis melissophyllum L.,.,1
,Helleborus foetidus L.,.,+,.,1,.,2,.,.,.,.,.,,,,Primula acaulis (L.) L. subsp. acaulis,.,1
,Lysimachia nemorum L.,.,.,.,.,.,.,.,1,.,+,1,,,,Sambucus nigra L. subsp. nigra,1,.
,Asplenium scolopendrium L. [sub],.,.,.,1,1,.,.,.,.,.,.,,,,Saxifraga spathularis Brot.,1,.
,Sanicula europaea L.,2,.,.,.,.,.,.,.,.,.,+,,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,1
,Anthriscus sylvestris (L.) Hoffm.,.,.,.,.,.,+,.,.,.,.,.,,,,Allium massaessylum Batt. & Trab.,.,+
,Carex remota L.,1,.,.,.,.,.,.,.,.,.,.,,,,Anemone trifolia L. subsp. albida (Mariz) Ulbr.,.,+
,Mercurialis perennis L.,.,.,.,.,.,2,.,.,.,.,.,,,,Athyrium filix-femina (L.) Roth,+,.
,Thalictrum speciosissimum L. in Loefl.,.,.,.,.,.,.,.,.,.,.,1,,,,Blechnum spicant subsp. spicant var. f_spicant,+,.
,Veronica montana L.,.,.,.,.,.,.,.,+,.,.,.,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,+,.
,Lonicera periclymenum L.,1,1,1,1,1,1,1,2,1,2,2,,,,Cephalanthera longifolia (L.) Fritsch,.,+
,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],1,1,1,1,1,2,1,1,.,2,2,,,,Circaea lutetiana L. subsp. lutetiana,+,.
,Angelica sylvestris L.,.,.,1,+,+,+,1,+,1,1,1,,,,Clematis campaniflora Brot.,+,.
,Athyrium filix-femina (L.) Roth,1,.,1,2,1,.,2,1,+,2,2,,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,.,+
,Castanea sativa Mill.,.,2,2,4,.,3,1,2,.,2,2,,,,Corylus avellana L.,+,.
,Crepis lampsanoides (Gouan) Tausch,1,1,1,1,.,1,.,.,+,+,1,,,,Crepis lampsanoides (Gouan) Tausch,.,+
,Blechnum spicant (L.) Roth,.,.,2,1,+,+,2,.,.,1,1,,,,Cruciata glabra subsp. hirticaulis,.,+
,Euphorbia dulcis L.,.,.,1,.,.,1,2,+,1,1,2,,,,Dryopteris affinis (Lowe) Fraser-Jenk. subsp. affinis,+,.
,Frangula alnus Mill.,.,.,1,1,.,1,1,.,+,1,1,,,,Genista falcata Brot.,.,+
,Arum italicum Mill.,.,.,.,1,1,.,.,1,1,+,1,,,,Helleborus foetidus L.,.,+
,Dryopteris affinis (Lowe) Fraser-Jenk. subsp. borreri (Newman) Fraser-Jenk. [sub],.,.,.,1,+,.,1,.,1,1,1,,,,Hypericum androsaemum L.,+,.
,Primula acaulis (L.) L.,.,.,2,.,+,1,1,.,.,+,1,,,,Linaria triornithophora (L.) Willd.,+,.
,Prunus avium L.,.,1,1,1,.,2,1,.,.,.,1,,,,Melica uniflora Retz.,+,.
,Luzula sylvatica (Huds.) Gaudin subsp. henriquesii (Degen) P.Silva [sub],1,.,.,.,1,1,.,1,1,.,.,,,,Orchis langei K. Richt.,.,+
,Betula pubescens Ehrh. [sub],.,.,.,1,.,.,1,.,.,1,1,,,,Physospermum cornubiense (L.) DC.,.,+
,Brachypodium sylvaticum (Huds.) P. Beauv.,2,1,.,.,.,2,.,1,.,.,.,,,,Quercus pyrenaica Willd.,+,.
,Euphorbia amygdaloides L.,.,.,1,.,.,2,2,1,.,.,.,,,a,Quercus robur L. [sub],.,+
,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,.,1,.,1,.,.,.,1,1,,,,Stellaria holostea L.,+,.
,Pyrus cordata Desv.,.,.,1,.,+,.,.,.,+,.,1,,,,Teucrium scorodonia L. subsp. scorodonia,.,+
,Saxifraga spathularis Brot.,1,.,1,.,.,.,.,.,1,.,2,,,,Fraxinus angustifolia Vahl subsp. angustifolia,1,1
,Circaea lutetiana L.,.,.,.,.,1,.,1,1,.,.,.,,,,Pteridium aquilinum (L.) Kuhn in Kerst. [sub],+,2
,Ilex aquifolium L.,1,.,.,.,.,.,.,.,.,1,1,,,,Asplenium onopteris L.,+,1
,Polygonatum odoratum (Mill.) Druce,.,.,.,.,1,.,+,.,.,.,1,,,,Rubus sp.,1,+
,Sambucus nigra L.,.,.,.,1,+,.,.,.,+,.,.,,,,Ruscus aculeatus L.,+,+
,Stellaria holostea L.,.,.,.,.,.,1,.,.,+,.,1,,,,Asphodelus lusitanicus Cout. [sub],.,2
,Holcus mollis L.,.,.,.,.,.,.,.,.,.,1,1,,,a,Fraxinus angustifolia Vahl subsp. angustifolia,.,2
,Ulmus glabra Huds.,.,1,.,.,.,.,.,2,.,.,.,,,,Arum italicum Mill. subsp. neglectum (Towns.) Prime,.,1
,Anemone trifolia L. subsp. albida (Mariz) Ulbr. [sub],.,.,.,.,.,.,.,.,.,.,+,,,,Carex elata subsp. reuterana,1,.
,Arenaria montana L.,.,.,.,.,.,.,.,.,.,.,1,,,,Celtis australis L.,1,.
,Hyacinthoides sp.,.,.,.,.,.,.,.,.,.,.,+,,,,Fragaria vesca L.,.,1
,Physospermum cornubiense (L.) DC.,.,.,.,.,.,.,.,.,.,.,1,,,,Frangula alnus Mill.,1,.
,Ranunculus ficaria L.,.,.,.,.,.,.,.,.,.,.,1,,,,Asplenium billotii F.W. Schultz,+,.
,Teucrium scorodonia L.,1,1,1,1,+,.,1,+,+,1,1,,,,Daphne gnidium L.,.,+
,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz [sub],.,1,+,1,+,1,1,+,+,.,1,,,,Eupatorium cannabinum L. subsp. cannabinum,+,.
,Geranium robertianum L.,1,.,1,1,+,.,1,+,+,+,1,,,,Geranium robertianum L.,.,+
,Omphalodes nitida (Willd.) Hoffmanns & Link,.,1,1,1,1,1,2,.,+,1,1,,,,Hyacinthoides hispanica (Mill.) Rothm.,.,+
,Rubus sp.,3,.,2,2,1,.,3,2,2,3,3,,,,Myosotis stolonifera subsp. stolonifera,+,.
,Tamus communis L.,.,1,1,1,1,2,1,1,1,.,2,,,,Osmunda regalis L.,+,.
,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens [sub],.,1,2,1,.,2,2,.,.,1,2,,,,Polypodium interjectum Shivas,.,+
,Digitalis purpurea L.,1,+,.,.,+,.,2,1,.,+,1,,,,Ranunculus ficaria L. subsp. ficaria,.,+
,Fragaria vesca L.,.,1,1,+,.,+,1,.,.,+,1,,,,Rosa sp.,+,.
,Ajuga reptans L.,.,.,.,.,.,+,.,+,+,2,1,,,,Rumex acetosa L. subsp. acetosa,.,+
,Crataegus monogyna Jacq.,.,1,1,.,.,1,.,1,.,.,2,,,,Saxifraga granulata L.,.,+
,Chrysosplenium oppositifolium L.,.,.,.,1,.,+,.,.,+,+,.,,,,Saxifraga lepismigena Planellas,+,.
,Erica arborea L.,.,.,.,.,1,.,.,.,+,1,+,,,,,,
,Eupatorium cannabinum L.,.,+,+,.,.,.,2,.,.,.,1,,,,,,
,Heracleum sphondylium L.,.,.,.,1,.,1,1,.,.,+,.,,,,,,
,Oenanthe crocata L.,.,.,.,1,.,+,.,.,+,.,+,,,,,,
,Polypodium interjectum Shivas,.,.,1,.,.,.,.,1,+,.,1,,,,,,
,Rumex acetosa L.,.,.,.,+,.,.,.,.,+,1,+,,,,,,
,Arisarum vulgare Targ.-Tozz.,.,.,.,.,+,.,.,.,.,+,+,,,,,,
,Linaria triornithophora (L.) Willd.,.,1,.,.,+,.,1,.,.,.,.,,,,,,
,Picris hieracioides L. subsp. longifolia (Boiss. & Reut.) P.D.Sell [sub],.,.,.,.,+,.,1,.,+,.,.,,,,,,
,Anthoxanthum odoratum L.,.,.,.,.,.,.,.,1,.,1,.,,,,,,
,Arbutus unedo L.,.,.,1,.,.,.,1,.,.,.,.,,,,,,
,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey. [sub],1,.,.,.,+,.,.,.,.,.,.,,,,,,
,Cardamine flexuosa With.,.,.,.,.,.,.,.,.,.,+,+,,,,,,
,Carex elata All. subsp. reuteriana (Boiss.) Luceño & Aedo [sub],.,.,.,.,.,.,.,.,+,.,+,,,,,,
,Cystopteris viridula (Desv.) Desv.,+,.,.,.,.,.,.,+,.,.,.,,,,,,
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,+,.,.,.,.,1,.,,,,,,
,Scrophularia auriculata L. [sub],+,.,.,.,.,.,+,.,.,.,.,,,,,,
,Sibthorpia europaea L.,.,.,.,.,+,.,.,.,+,.,.,,,,,,
,Silene vulgaris (Moench) Garcke,.,+,.,.,.,+,.,.,.,.,.,,,,,,
,Lotus pedunculatus Cav.,1,.,.,.,.,.,.,.,.,.,.,,,,,,
,Prunus lusitanica L.,1,.,.,.,.,.,.,.,.,.,.,,,,,,
,Malva tournefortiana L.,.,+,.,.,.,.,.,.,.,.,.,,,,,,
,¿ Rubus ulmifolius Schott [sub],.,2,.,.,.,.,.,.,.,.,.,,,,,,
,Cytisus striatus (Hill) Rothm.,.,.,+,.,.,.,.,.,.,.,.,,,,,,
,Myosotis secunda A. Murray,.,.,+,.,.,.,.,.,.,.,.,,,,,,
,Arabis juresii,.,.,1,.,.,.,.,.,.,.,.,,,,,,
,Tradescantia fluminensis Vell.,.,.,.,.,+,.,.,.,.,.,.,,,,,,
,Geranium columbinum L.,.,.,.,.,.,.,+,.,.,.,.,,,,,,
,Polypodium cambricum L.,.,.,.,.,.,.,1,.,.,.,.,,,,,,
,Centaurea nigra L. subsp. rivularis (Brot.) Cout. [sub],.,.,.,.,.,.,.,+,.,.,.,,,,,,
,Scutellaria minor Huds.,.,.,.,.,.,.,.,1,.,.,.,,,,,,
,Poa trivialis L.,.,.,.,.,.,.,.,1,.,.,.,,,,,,
,Dactylis glomerata L.,.,.,.,.,.,.,.,1,.,.,.,,,,,,
,Scrophularia herminii Hoffmanns. & Link,.,.,.,.,.,.,.,+,.,.,.,,,,,,
,Pentaglottis sempervirens (L.) L. H. Bailey,.,.,.,.,.,.,.,+,.,.,.,,,,,,
,Epilobium obscurum Schreb.,.,.,.,.,.,.,.,+,.,.,.,,,,,,
,Ranunculus repens L.,.,.,.,.,.,.,.,.,+,.,.,,,,,,
,Carex pilulifera L.,.,.,.,.,.,.,.,.,.,1,.,,,,,,
,Cerastium fontanum Baumg.,.,.,.,.,.,.,.,.,.,.,+,,,,,,
,Carex leporina L.,.,.,.,.,.,.,.,.,.,.,1,,,,,,
,Ulex minor Roth,.,.,.,.,.,.,.,.,.,.,+,,,,,,
,Hieracium vulgatum Fr.,.,.,.,.,.,.,.,.,.,.,+,,,,,,
,Genista falcata Brot.,.,.,.,.,.,.,.,.,.,.,+,,,,,,
,Cirsium palustre (L.) Scop.,.,.,.,.,.,.,.,.,.,.,+,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
