,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,1,2,3,4,5,6,7,8,,,,1,2,3,4,5,,,,1,2,3,4,5,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8
,Quercus pyrenaica Willd.,4,4,5,5,5,4,3,5,4,3,3,5,5,,,Quercus pyrenaica Willd.,5,5,5,5,5,5,4,3,,,Quercus pyrenaica Willd.,5,4,4,5,5,,A,Quercus pyrenaica Willd.,3,2,3,4,3,,,Quercus pyrenaica Willd.,4,5,5,4,5,5,,,Quercus pyrenaica Willd.,3,3,2,3,3,4,4,2,4,4,4,5,,A,Quercus pyrenaica Willd.,4,1,4,2,4,4,1,.
,Cytisus scoparius (L.) Link,.,.,+,1,1,r,+,1,r,2,+,.,.,,,Stellaria holostea L.,1,1,+,+,1,+,+,1,,,Holcus mollis L. subsp. mollis,.,1,2,2,3,,a,Quercus pyrenaica Willd.,2,1,+,+,2,,,Crepis lampsanoides (Gouan) Tausch,+,1,+,+,.,+,,,Holcus mollis L.,1,1,2,+,1,2,+,2,1,+,+,+,,a,Quercus pyrenaica Willd.,3,.,2,3,.,.,.,.
,Crataegus monogyna Jacq.,.,+,1,+,1,+,1,1,2,.,.,+,.,,,Physospermum cornubiense (L.) DC.,1,1,+,+,+,+,+,+,,,Teucrium scorodonia L. subsp. scorodonia,1,.,+,1,+,,,Poa nemoralis L.,1,+,1,1,+,,,Physospermum cornubiense (L.) DC.,+,+,.,1,1,.,,,Erythronium dens-canis L.,+,+,+,.,.,.,+,.,+,.,.,.,,,Erythronium dens-canis L.,.,.,+,+,.,.,(+),1
,Cytisus multiflorus (L'Hér.) Sweet,+,+,.,.,.,.,.,.,.,2,1,.,+,,,Euphorbia angulata Jacq.,+,+,+,+,.,+,+,+,,,Lamium maculatum L.,.,.,+,+,1,,,Erythronium dens-canis L.,.,1,1,+,+,,,Quercus Xandegavensis Hy,.,.,.,.,+,.,,,Physospermum cornubiense (L.) DC.,1,+,2,.,.,.,+,.,.,.,.,.,,,Poa nemoralis L.,.,.,+,.,1.2,.,.,2
,Rosa canina L.,.,.,1,+,.,1,+,+,.,.,.,.,.,,,Poa nemoralis L.,1,1,1,+,1,+,+,.,,,Arenaria montana L. subsp. montana,.,.,+,+,+,,,Ajuga pyramidalis L. subsp. meonantha (Hoffmanns. & Link) R. Fernandes [sub],1,.,1,.,+,,,Holcus mollis L.,1,1,2,1,1,2,,,Genista florida L. [sub],.,2,2,.,2,+,.,2,.,.,2,.,,,Ajuga pyramidalis L. subsp. meonantha (Hoffmanns. & Link) R. Fernandes [sub],+,.,.,.,.,.,+,.
,Pyrus communis L. [sub],+,.,.,.,.,.,1,.,.,.,2,.,1,,,Melittis melissophyllum L.,+,+,+,.,+,+,+,.,,,Pyrus cordata Desv.,2,.,.,1,.,,,Physospermum cornubiense (L.) DC.,2,+,1,2,2,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,+,1,.,1,r,,,Crepis lampsanoides (Gouan) Tausch,.,.,2,+,.,2,+,.,.,+,2,.,,,Carduus carpetanus Boiss. & Reut. [sub],.,+,.,.,+,+,.,.
,Erica arborea L.,.,.,.,.,+,.,+,.,2,.,2,.,.,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,+,.,.,1,+,+,+,,,Stellaria holostea L.,.,4,.,1,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,+,+,1,1,,,Hypericum pulchrum L.,+,+,+,.,+,.,,,Arenaria montana L. subsp. montana,.,.,+,+,.,.,.,+,.,.,+,.,,,Pyrus communis L.,2,.,.,2,+,+,+,.
,Frangula alnus Mill.,.,.,.,.,.,.,1.1,.,1.1,.,.,.,.,,,Festuca heterophylla Lam.,1,1,1,1,1,1,+,+,,a,Quercus pyrenaica Willd.,.,3,1,.,.,,,Euphorbia angulata Jacq.,1,1,1,1,+,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,r,+,+,.,+,.,,,Geranium sanguineum L.,.,+,.,1.2,.,.,.,+,.,.,.,.,,,Anemone trifolia L. subsp. albida (Mariz) Ulbr.,+,.,1,1,.,.,1,.
,Corylus avellana L.,.,.,.,.,.,.,+,.,.,.,.,1,.,,,Lonicera periclymenum L.,+,+,2,+,+,1,1,1,,,Quercus robur L. [sub],.,.,.,1,.,,,Potentilla montana Brot.,2,2,2,3,1,,,Primula acaulis (L.) L. [sub],+,+,+,.,.,+,,,Euphorbia amygdaloides L.,+,.,.,.,.,.,.,.,2,.,.,+,,,Physospermum aquilegifolium,(+),.,1,.,.,.,1,1
,Holcus mollis L.,2,2,1,1,+,.,.,2,2,2,1,2,4,,,Cruciata glabra (L.) Ehrend.,1,1,1,1,1,+,+,+,,,Ranunculus ollissiponensis Pers. subsp. ollissiponensis,.,.,+,.,+,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,+,+,1,.,,,Teucrium scorodonia L.,.,1,1,1,+,.,,,Narcissus triandrus L. subsp. pallidulus (Graells) D.A.Webb,.,.,.,.,+,.,.,+,.,.,.,.,,,Omphalodes nitida (Willd.) Hoffmanns & Link,.,.,+,2,.,.,(+),.
,Clinopodium vulgare L.,+,1,1,1,+,+,r,+,1,1,.,+,.,,,Crepis lampsanoides (Gouan) Tausch,+,1,+,+,+,+,+,+,,,Sedum forsterianum Sm. in Sowerby,.,+,.,.,+,,,Scilla verna Huds.,1,.,2,2,.,,,Melampyrum pratense L.,.,1,2,.,2,2,,,Helleborus foetidus L.,.,.,.,.,.,.,.,.,.,.,1,+,,,Narcissus triandrus subsp. cernuus,(+),.,+,.,.,.,+,.
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,.,+,+,1,1,.,+,+,+,+,.,+,,,Melampyrum pratense L.,1,+,.,+,1,+,1,1,,,Castanea sativa Mill.,.,.,.,.,+,,,Stellaria holostea L.,.,+,.,1,.,,,Poa nemoralis L.,.,2,2,.,.,.,,,Stellaria holostea L.,.,.,.,.,.,.,.,.,.,.,2,+,,,Cirsium filipendulum Lange [sub],.,.,.,.,.,.,1,1
p,Quercus pyrenaica Willd.,3,2,1,2,.,.,2,2,1,2,3,.,4,,,Primula acaulis (L.) L. [sub],1,1,.,+,1,+,+,+,,,Crepis lampsanoides (Gouan) Tausch,.,.,.,.,+,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz [sub],.,.,2,2,.,,,Euphorbia angulata Jacq.,+,+,+,.,.,.,,,Silene nutans L. subsp. nutans,.,.,.,.,.,.,.,.,.,.,2,.,,,Genista falcata Brot.,2,.,+,.,.,.,.,.
,Physospermum cornubiense (L.) DC.,.,.,1,1,.,+,1,+,.,.,1,+,.,,,Lathyrus niger (L.) Bernh.,+,+,.,+,+,+,+,+,,,Hedera hibernica (G. Kirchn.) Bean,.,.,.,.,+,,,Melittis melissophyllum L.,.,2,.,.,.,,,Stellaria holostea L.,.,+,+,2,.,.,,,Cytisus scoparius (L.) Link,2,.,2,.,2,+,+,2,2,.,2,+,,,Galium broterianum Boiss. & Reut.,.,+,.,.,.,.,.,.
