,,1,2,3,4,5,6,,,,1,,,,1,2,3,4,5,6,7,,,,,,
,Quercus lusitanica Lam.,4,4,3,2,3,4,,,Quercus lusitanica Lam.,4,,,Quercus lusitanica Lam.,5,4,5,4,3,4,4,,,,101,102,103
,Juniperus navicularis Gand.,2,3,1,2,2,2,,,Juniperus navicularis Gand.,1,,,Juniperus navicularis Gand.,+,1,2,3,1,2,2,,A,Pistacia lentiscus L.,.,.,.
,Daphne gnidium L.,2,2,2,2,1,+,,,Corema album (L.) D. Don,1,,,Serratula alcalae Coss.,+,+,1,1,1,+,.,,a,Pistacia lentiscus L.,+,+,.
,Asparagus aphyllus L.,+,.,+,+,+,+,,,Serratula alcalae Coss.,+,,,Daphne gnidium L.,.,.,2,1,+,+,1,,,Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman [sub],.,.,.
,Phillyrea angustifolia L.,.,1,.,.,+,.,,,Asparagus aphyllus L.,+,,,Corema album (L.) D. Don,+,1,+,+,.,.,1,,,Myrtus communis L.,.,+,+
,Serratula aristata,+,.,.,.,+,.,,,Quercus suber L.,+,,,Phillyrea angustifolia L.,.,1,1,2,.,+,.,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],+,1,.
,Jurinea humilis (Desf.) DC. [sub],.,.,.,+,.,+,,,Pinus pinea L.,3,,,Anemone palmata L.,.,.,1,1,+,.,+,,,Quercus coccifera L.,1,.,.
,Euphorbia transtagana Boiss.,.,.,.,.,+,+,,,Halimium halimifolium (L.) Willk. in Willk. & Lange,1,,,Scilla monophyllos Link,.,.,1,1,+,.,+,,,Quercus Xauzandrii Gren. & Godr. [sub],.,.,.
,Quercus coccifera L.,+,.,.,+,.,.,,,Stauracanthus genistoides (Brot.) Samp.,1,,,Euphorbia transtagana Boiss.,.,.,.,1,.,+,+,,,Calicotome villosa (Poir.) Link,.,.,.
,Quercus suber L.,.,+,.,+,.,.,,,Calluna vulgaris (L.) Hull,1,,,Quercus coccifera L.,.,.,1,.,.,+,.,,,Quercus lusitanica Lam.,4,5,4
,Arbutus unedo L.,.,.,+,+,.,.,,,Cistus salviifolius L. [sub],+,,,Ulex australis Clemente,+,2,3,1,2,.,+,,,Juniperus navicularis Gand.,+,1,1
,Osyris alba L.,.,.,2,.,.,.,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],+,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],+,1,+,+,+,+,.,,,Corema album (L.) D. Don,+,1,1
,Ruscus aculeatus L.,+,.,.,.,.,.,,,Thymus capitellatus Hoffmanns. & Link,+,,,Erica umbellata Loefl. ex L.,1,+,+,2,+,1,.,,,Clematis cirrhosa L.,.,.,.
,Pyrus bourgaeana Decne.,.,.,+,.,.,.,,,Cistus crispus L.,+,,,Calluna vulgaris (L.) Hull,.,1,1,2,+,+,.,,,Phlomis purpurea L.,.,.,.
,Pistacia lentiscus L.,.,+,.,.,.,.,,,Thapsia villosa L.,+,,,Halimium halimifolium (L.) Willk. in Willk. & Lange,.,1,1,1,+,.,1,,,Asparagus albus L.,.,.,.
,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],1,1,2,+,+,+,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],+,,,Tuberaria guttata (L.) Fourr.,+,+,+,+,.,.,+,,,Aristolochia baetica L.,.,.,.
,Lavandula pedunculata Cav. subsp. ambigua Mnzs. [sub],+,+,+,+,+,+,,,Urginea fugax (Moris) Steinh. [sub],+,,,Halimium calycinum (L.) K. Koch [sub],.,2,+,.,1,.,+,,,Pistacia terebinthus L.,.,.,.
,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],+,1,1,.,+,+,,,,,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,.,+,+,+,+,.,,,Coronilla juncea L.,.,.,.
,Halimium halimifolium (L.) Willk. in Willk. & Lange subsp. multiflorum (Salzm. ex Dunal) Maire in Jahand. & Maire [sub],2,1,.,1,+,.,,,"Rivas-Martínez, Salvador; Lousa, Mario; Díaz, Tomás E.; Fernández-González, Federico & Costa, José C. 1990 La vegetación del sur de Portugal (Sado, Alentejo y Algarve). Itinera Geobot., 3: T.TX4",,,,Cistus salviifolius L. [sub],1,+,.,.,+,+,1,,,Biarum arundanum Boiss. & Reut.,.,.,.
,Stauracanthus genistoides (Brot.) Samp.,+,+,.,+,.,+,,,,,,m,Cladonia sp.,.,+,2,2,.,.,.,,,Melica minuta L. [sub],.,.,.
,Cistus salviifolius L. [sub],+,.,1,+,.,.,,,,,,,Thymus capitellatus Hoffmanns. & Link,.,+,.,.,+,.,+,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl. [sub],.,.,.
,Pteridium aquilinum (L.) Kuhn in Kerst.,1,.,+,+,.,.,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],+,.,.,.,.,1,1,,,Euphorbia transtagana Boiss.,.,.,.
,Arrhenatherum album (Vahl) W. D. Clayton,+,.,.,.,+,.,,,,,,,Urginea fugax (Moris) Steinh. [sub],+,.,.,.,+,+,.,,,Rhaponticoides fraylensis (Sch. Bip. ex Nyman) M.V. Agab. & Greuter [sub],.,.,.
,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn. [sub],1,+,.,.,.,.,,,,,,,Thapsia villosa L.,+,.,.,.,+,.,+,,,Rhaponticoides africana (Lam.) M.V.Agab. & Greuter [sub],.,.,+
,Rosmarinus officinalis L.,.,1,+,.,.,.,,,,,,,Genista triacanthos Brot.,+,.,.,.,+,1,.,,,Centaurea crocata Franco,.,.,.
m,Cladonia mediterranica,.,+,.,+,.,.,,,,,,,Linaria spartea (L.) Willd.,+,+,.,.,.,.,+,,,Serratula alcalae Coss.,+,1,2
