,,1,2,3,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11
,Quercus rotundifolia Lam.,4,4,4,,,,,1,,,,Quercus rotundifolia Lam.,5,3,4,4,5,3,3,4,5,4,3
,Rhamnus alaternus L.,2,2,2,,,,Quercus rotundifolia Lam.,3,,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,+,+,1,+,+,1,+,2,+
,Lonicera implexa Aiton,2,2,1,,,,Quercus coccifera L.,2,,,,Quercus coccifera L.,1,2,+,2,2,3,2,.,.,.,.
,Quercus coccifera L.,2,2,1,,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi,1,,,,Daphne gnidium L.,.,1,.,.,.,+,+,1,+,1,+
,Daphne gnidium L.,2,1,1,,,,Jasminum fruticans L.,1,,,,Rubia peregrina L. [sub],.,+,1,.,.,+,+,+,+,1,.
,Pistacia lentiscus L.,1,2,1,,,,Rubia peregrina L.,1,,,,Rhamnus alaternus L.,.,+,+,+,.,.,.,+,+,1,1
,Quercus Xauzandrii Gren. & Godr. [sub],1,1,2,,,,Smilax aspera L.,1,,,,Quercus Xauzandrii Gren. & Godr. [sub],2,.,.,+,2,.,+,+,1,.,.
,Smilax aspera L.,1,1,1,,,,Euphorbia characias L.,1,,,,Scilla monophyllos Link,.,+,.,.,+,.,+,+,+,1,.
,Asparagus aphyllus L.,1,+,+,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,1,,,,Lonicera implexa Aiton,.,.,.,.,.,2,1,2,+,+,.
,Ruscus aculeatus L.,1,.,.,,,,Cistus salviifolius L.,3,,,,Phillyrea angustifolia L.,1,.,.,+,+,1,.,.,+,.,1
,Arisarum vulgare Targ.-Tozz.,1,.,.,,,,Calendula suffruticosa Vahl subsp. lusitanica (Boiss.) Ohle,2,,,,Crataegus monogyna Jacq. [sub],.,+,.,.,.,.,.,+,3,1,.
,Anemone palmata L.,+,.,.,,,,Pinus halepensis Mill.,1,,,,Smilax aspera L. [sub],+,.,.,.,.,.,+,.,3,1,.
