,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,1
,Quercus suber L.,3,4,3,2,3,+,3,2,2,4,.,3,3,3,3,4,3,3,2,,,,Quercus suber L.,5
,Elaeoselinum foetidum (L.) Boiss.,.,1,1,2,2,1,1,+,+,+,.,+,1,1,.,1,.,2,.,,,,Quercus canariensis Willd.,2
,Sanguisorba hybrida (L.) Font Quer,.,.,2,+,1,(+),.,.,1,+,.,.,(+),.,(+),1,.,.,.,,,,Arbutus unedo L.,2
,Calamintha nepeta (L.) Savi subsp. nepeta [sub],+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Viburnum tinus L.,2
,Ruscus aculeatus L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Ruscus aculeatus L.,1
,Allium massaessylum Batt. & Trab.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,3,3,3,.,,,,Luzula forsteri (Sm.) DC. subsp. baetica P. Monts.,2
,Epipactis helleborine (L.) Crantz,+,+,1,+,1,.,+,+,+,.,.,.,+,+,.,1,.,.,+,,,,Clematis flammula L.,+
,Origanum virens Hoffmanns. & Link,.,.,+,.,1,.,.,.,.,+,.,.,+,+,.,1,.,.,.,,,,Rhamnus alaternus L.,1
,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,+,.,,,,Avenella flexuosa (L.) Drejer [sub],1
,Myrtus communis L. [sub],+,.,2,1,.,3,2,.,.,2,.,2,.,+,(+),+,.,+,2,,,,Carex distachya Desf.,+
,Arbutus unedo L.,+,.,2,.,1,2,2,+,+,3,.,3,.,2,.,1,.,.,1,,,,Asplenium onopteris L.,1
,Phillyrea angustifolia L.,.,2,+,1,.,2,2,+,.,+,.,2,.,.,.,.,+,.,1,,,,Selaginella denticulata (L.) Spring,+
,Daphne gnidium L.,.,+,1,+,.,.,.,.,.,1,.,+,+,.,.,+,+,1,+,,,,Erica arborea L.,2
,Quercus coccifera L.,.,2,2,3,4,.,.,.,.,4,3,3,.,2,.,.,.,.,.,,,,Teucrium scorodonia L.,2
,Lonicera implexa Aiton,.,.,+,+,2,2,.,.,.,+,.,1,.,+,.,.,.,.,.,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,+,.,+,+,2,.,.,.,.,.,.,+,+,.,.,.,.,.,,,,Thapsia villosa L.,1
,Bellis sylvestris Cirillo,.,+,.,.,.,.,.,.,.,.,.,.,.,+,+,+,.,+,.,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],1
,Quercus rotundifolia Lam.,.,.,.,.,2,2,.,.,.,.,2,.,.,.,.,2,.,+,.,,,,Crataegus monogyna Jacq.,1
,Pistacia lentiscus L.,.,.,.,(+),+,4,.,.,.,2,.,2,.,.,.,.,.,.,.,,,,Lavandula viridis L'Hér.,1
,Rubia peregrina L.,.,+,+,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,Euphorbia amygdaloides L.,1
p,Arbutus unedo L.,.,+,.,2,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,Cistus populifolius L.,+
,Aristolochia paucinervis Pomel [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,.,2,.,,,,Cistus salviifolius L. [sub],2
,Asparagus aphyllus L.,.,+,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,Ulex minor Roth,+
p,Rhamnus alaternus L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Genista triacanthos Brot.,+
p,Quercus rotundifolia Lam.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Sedum forsterianum Sm. in Sowerby [sub],1
,Rhamnus alaternus L.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al. [sub],+
,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira,1,3,2,1,+,+,2,2,2,+,.,2,2,1,1,1,2,2,+,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+
,Cistus salviifolius L. [sub],4,1,2,2,3,2,+,.,1,+,4,+,1,2,+,2,4,.,.,,,,Saxifraga granulata L. [sub],1
,Genista hirsuta Vahl,1,4,2,4,.,2,+,2,+,+,.,+,2,3,2,(+),1,(+),.,,,,Aristolochia paucinervis Pomel,1
,Cistus ladanifer L. [sub],.,3,+,(+),2,.,2,4,3,.,.,1,4,.,2,2,+,4,2,,,,Origanum virens Hoffmanns. & Link,2
,Cistus populifolius L.,2,+,.,.,.,.,4,1,3,.,.,+,.,3,2,3,1,+,2,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],1
,Helichrysum stoechas (L.) Moench subsp. stoechas,+,+,.,.,1,+,.,+,.,+,.,.,+,+,.,.,+,.,.,,,,Festuca ampla Hack.,1
,Erophaca baetica (L.) Boiss. [sub],.,1,+,2,2,1,.,1,+,+,.,1,.,.,.,.,.,.,.,,,,Digitalis purpurea L. subsp. purpurea [sub],+
,Cistus crispus L.,2,.,.,1,1,.,+,+,2,.,1,+,+,.,.,.,.,.,.,,,,Pulicaria odora (L.) Rchb.,1
,Asphodelus ramosus L.,+,+,.,+,.,.,+,.,.,+,.,.,+,+,.,.,+,.,.,,,,Asphodelus aestivus Brot.,1
