,,71,72,73,74,75,76,77,78,79,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,1,,,,1,,,,1,2,3,4,5,6,7,,,,1,2,3,4,5
A,Pistacia lentiscus L.,.,.,.,.,.,.,.,.,.,,,Quercus coccifera L.,1,5,4,3,4,3,3,4,4,3,4,4,4,4,4,3,4,3,4,,,Quercus coccifera L.,5,,,Quercus coccifera L.,4,,,Quercus coccifera L.,4,4,4,4,4,5,5,,,Quercus coccifera L.,4,4,3,4,4
a,Pistacia lentiscus L.,.,2,1,+,1,3,2,2,1,,,Rhamnus alaternus L.,3,1,1,3,2,2,2,1,+,3,+,1,2,1,1,.,2,2,1,,,Melica minuta L. [sub],+,,,Arbutus unedo L.,2,,,Quercus rotundifolia Lam.,1,1,1,+,.,.,.,,,Pistacia lentiscus L.,3,2,2,2,2
,Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman [sub],.,.,.,.,.,.,.,.,.,,,Melica minuta L. [sub],1,+,1,2,2,+,2,+,+,.,1,1,+,1,2,2,1,2,2,,,Rhamnus alaternus L.,1,,,Viburnum tinus L.,2,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,.,.,.,.,2,2,,,Smilax aspera L.,2,2,2,+,+
,Myrtus communis L.,.,1,.,+,+,1,.,+,.,,,Smilax aspera L.,2,.,+,1,1,1,2,2,.,2,2,2,+,1,1,1,2,2,2,,,Daphne gnidium L.,1,,,Lonicera implexa Aiton,2,,,Phillyrea angustifolia L.,+,.,.,.,1,.,.,,,Daphne gnidium L.,1,1,1,1,+
,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,+,.,.,1,.,1,.,1,,,Rubia peregrina L.,2,+,1,+,1,+,+,+,2,1,+,+,+,.,+,+,1,1,1,,,Rubia peregrina L.,1,,,Smilax aspera L.,2,,,Pistacia lentiscus L.,.,.,.,+,1,.,.,,,Rhamnus alaternus L.,2,1,+,+,+
,Quercus coccifera L.,4,4,3,5,5,1,5,4,4,,,Lonicera implexa Aiton,2,+,+,2,1,+,+,.,.,1,+,2,+,.,1,2,+,+,1,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1,,,Rubia peregrina L.,1,,,Rubia peregrina L. [sub],.,.,1,+,.,.,.,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl.,+,1,1,+,1
,Quercus Xauzandrii Gren. & Godr. [sub],.,.,.,.,.,.,.,.,.,,,Daphne gnidium L.,2,1,+,+,+,1,1,+,.,.,+,1,1,1,1,2,1,.,1,,,Phillyrea angustifolia L.,1,,,Phillyrea angustifolia L.,1,,,Quercus Xauzandrii Gren. & Godr. [sub],.,.,.,+,2,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1,2,.,1,2
,Calicotome villosa (Poir.) Link,.,.,.,.,.,.,.,.,.,,,Arisarum simorrhinum Durieu [sub],1,+,+,1,+,1,+,.,.,+,.,+,.,1,1,+,+,+,+,,,Genista tournefortii Spach,1,,,Phillyrea latifolia L.,1,,,Quercus broteroi (Cout.) Rivas-Martínez,.,.,1,.,+,.,.,,,Phillyrea angustifolia L.,+,.,+,2,2
,Quercus lusitanica Lam.,.,.,.,.,.,.,.,.,.,,,Asparagus aphyllus L.,1,.,+,+,+,1,.,+,.,1,+,+,1,1,+,1,1,.,1,,,Ulex densus Welw. ex Webb,1,,,Laurus nobilis L.,1,,,Melica minuta L. [sub],.,.,.,.,1,.,.,,,Rubia peregrina L. [sub],2,1,1,+,.
,Juniperus navicularis Gand.,.,.,.,.,.,.,.,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],4,.,+,1,+,1,1,.,.,3,+,+,.,1,.,+,2,.,+,,,Asparagus aphyllus L.,+,,,Melica minuta L. [sub],+,,,Smilax aspera L. [sub],.,.,.,.,1,.,.,,,Melica minuta L. [sub],1,+,+,.,+
