,,1,2,3,4,5,6,7,8,9,10
,Myrtus communis L.,2,2,4,1,2,2,1,2,2,1
,Pyrus bourgaeana Decne. [sub],2,1,1,+,1,+,2,1,1,+
,Phillyrea angustifolia L.,2,1,1,1,1,1,1,2,+,+
,Pistacia lentiscus L.,2,1,1,3,2,+,1,+,2,+
,Quercus rotundifolia Lam. [sub],3,4,+,1,4,3,4,1,1,+
,Cistus monspeliensis L.,+,1,+,+,1,+,+,.,+,1
,Teucrium haenseleri Boiss.,+,+,.,.,1,.,.,+,.,.
,Chamaerops humilis L.,2,1,1,.,.,.,.,.,.,.
,Phlomis purpurea L.,+,2,.,.,.,.,.,.,.,.
,Arbutus unedo L.,1,.,.,+,1,+,.,1,1,1
,Pistacia terebinthus L.,.,.,.,2,.,.,.,.,+,.
,Quercus suber L.,.,+,.,.,.,+,+,4,2,5
,Pulicaria odora (L.) Rchb.,+,.,.,.,+,.,+,+,.,+
,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,+,+,+,.,+,+,+
,Cerastium brachypetalum N.H.F. Desp. ex Pers.,.,.,.,.,+,+,+,.,.,+
,Vincetoxicum nigrum (L.) Moench,.,.,.,+,.,+,+,.,+,+
,Viburnum tinus L.,.,.,.,.,.,.,.,.,.,1
,Geranium purpureum Vill. [sub],.,.,.,+,.,.,.,.,+,+
,Silene rubella L. subsp. segetalis (L.M. Dufour) Nyman [sub],.,.,.,.,.,.,+,+,.,+
,Origanum virens Hoffmanns. & Link,.,.,.,+,.,.,.,+,.,.
,Saxifraga granulata L. [sub],.,.,.,.,.,+,.,+,.,.
,Moehringia pentandra J. Gay,.,.,.,.,.,.,.,.,.,+
,Fraxinus angustifolia Vahl subsp. oxycarpa (Willd.) Franco & Rocha Afonso [sub],.,.,1,4,.,.,.,.,.,.
,Securinega buxifolia Müll. Arg.,.,.,+,2,.,.,.,.,.,.
,Nerium oleander L.,.,.,2,.,.,.,.,.,.,.
,Salix atrocinerea Brot.,.,.,.,1,.,.,.,.,.,.
,Aristolochia paucinervis Pomel [sub],.,.,+,+,.,.,.,+,.,.
,Campanula rapunculus L.,.,.,+,+,.,.,+,.,.,.
,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,1,+,.,.,.,.,.,.
,Briza minor L.,.,.,+,+,.,.,.,+,.,.
,Scirpoides holoschoenus (L.) Soják [sub],.,.,1,1,.,.,.,.,.,.
,Mentha suaveolens Ehrh. [sub],.,.,+,+,.,.,.,.,.,.
,Mentha pulegium L.,.,.,+,.,+,.,.,.,.,.
,Dittrichia viscosa (L.) Greuter [sub],.,.,+,+,.,.,+,.,.,.
,Juncus inflexus L. [sub],.,.,1,.,.,.,.,.,.,.
,Torilis arvensis (Huds.) Link [sub],.,.,+,.,.,.,.,.,.,.
,Linum tenue Desf.,.,.,+,.,.,.,.,.,.,.
,Trifolium resupinatum L.,.,.,+,.,.,.,.,.,.,.
,Calepina irregularis (Asso) Thell. [sub],.,.,+,+,.,.,.,.,.,.
,Thapsia transtagana Brot.,.,.,1,+,.,.,.,.,.,.
,Halimium halimifolium (L.) Willk. in Willk. & Lange,.,.,.,.,.,+,1,.,.,.
,Erica scoparia L.,.,.,.,+,.,+,+,.,.,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1,.,+,+,1,.,.,.,.,.
,Asparagus acutifolius L.,+,+,.,+,+,+,1,+,+,+
,Quercus coccifera L.,.,+,.,.,+,+,.,.,.,+
,Daphne gnidium L.,+,1,+,+,+,2,2,+,1,+
,Osyris alba L.,.,.,+,1,.,.,.,+,+,.
,Jasminum fruticans L.,.,+,.,.,+,+,.,+,.,.
,Rubia peregrina L.,+,+,+,+,.,+,.,+,+,+
,Smilax aspera L. [sub],+,.,2,+,.,.,+,.,+,1
,Lathyrus latifolius L.,.,.,.,.,.,.,+,.,+,+
,Crataegus monogyna Jacq.,+,.,1,+,.,+,.,.,1,.
,Cephalanthera longifolia (L.) Fritsch [sub],.,.,.,+,.,+,.,+,.,+
,Rhamnus alaternus L.,.,+,.,.,.,.,.,+,1,1
,Cistus crispus L.,+,+,.,+,+,+,1,2,1,+
,Lavandula stoechas L.,+,+,.,.,+,1,+,1,.,.
,Thymus mastichina L.,.,.,+,+,.,+,.,.,.,.
,Cistus salviifolius L.,+,1,.,1,+,+,1,+,1,+
,Cistus ladanifer L. [sub],+,+,.,.,1,+,+,+,.,.
,Ulex australis Clemente subsp. australis [sub],.,+,.,.,.,.,+,+,+,.
,Genista hirsuta Vahl,+,+,.,.,.,+,+,.,.,.
,Retama sphaerocarpa (L.) Boiss.,1,.,1,.,1,.,.,+,1,+
,Genista triacanthos Brot.,.,.,.,.,.,.,.,.,+,+
,Festuca delicatula,.,+,.,.,+,+,+,+,+,.
,Anarrhinum bellidifolium (L.) Willd.,+,.,.,.,+,+,.,+,.,+
,Briza maxima L.,+,+,+,+,+,+,.,+,+,+
,Trifolium angustifolium L.,+,.,.,+,+,+,+,+,+,.
,Eryngium tenue Lam.,+,+,+,+,+,+,.,+,+,.
,Gastridium ventricosum (Gouan) Schinz & Thell. [sub],.,+,.,.,+,+,+,+,+,+
,Agrostis castellana Boiss. & Reut.,1,+,.,+,+,+,+,2,1,+
,Neoschischkinia pourretii (Willd.) Valdés & H. Scholz [sub],.,.,.,+,.,+,+,+,+,+
,Tuberaria guttata (L.) Fourr. [sub],+,+,.,+,+,+,+,+,+,+
,Margotia gummifera (Desf.) Lange in Willk. & Lange,.,.,.,.,+,+,.,+,.,+
