,,1,2,3,4
,Quercus pyrenaica Willd.,4,5,3,2
,Oenanthe crocata L.,3,2,1,2
,Arum gr. italicum Mill. [sub],1,1,2,+
,Scrophularia scorodonia L.,+,1,2,+
,Hedera hibernica (G. Kirchn.) Bean,1,.,2,3
,Quercus pyrenaica Willd.,1,2,1,.
,Ranunculus ficaria L.,1,+,2,.
,Brachypodium sylvaticum (Huds.) P. Beauv.,1,2,.,+
,Iris foetidissima L.,1,1,.,+
,Aristolochia paucinervis Pomel,1,+,2,.
,Populus nigra L.,.,.,4,2
,Ornithogalum pyrenaicum L.,+,.,+,.
,Luzula forsteri (Sm.) DC. subsp. cantabrica P. Monts. [sub],+,.,+,.
,Fraxinus angustifolia Vahl,.,.,.,3
,Vinca difformis Pourr.,1,.,.,.
,Ulmus minor Mill.,.,.,.,1
,Prunus insititioides,1,2,3,2
,Crataegus monogyna Jacq. [sub],2,2,2,1
,Tamus communis L.,1,1,2,.
,Rubus ulmifolius Schott,1,2,2,2
,Rosa canina L.,1,+,+,+
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],1,2,2,+
,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],1,1,2,+
,Phalaris caerulescens Desf.,+,.,+,+
,Rubia peregrina L.,1,+,+,+
,Poa pratensis L.,2,1,3,.
,Trifolium repens L.,1,+,2,.
,Rumex conglomeratus Murray,+,2,.,+
,Asphodelus lusitanicus Cout.,+,+,+,.
,Heracleum sphondylium L.,1,1,.,.
,Geranium purpureum Vill.,1,.,1,.
,Ranunculus repens L.,1,.,1,.
,Mentha suaveolens Ehrh.,+,2,.,.
,Arisarum simorrhinum Durieu,1,.,+,.
,Carex flacca Schreb. [sub],+,+,.,.
,Prunella vulgaris L.,+,+,.,.
,Mentha pulegium L.,+,.,+,.
,Smyrnium olusatrum L.,+,.,+,.
,Lythrum junceum Banks & Sol. in Russell,+,.,+,.
,Clinopodium vulgare L.,+,.,+,.
,Daucus carota L. [sub],+,.,.,+
,Asplenium onopteris L.,+,.,.,.
,Arctium minus (Hill) Bernh.,.,2,.,.
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,+,.,.
,Torilis arvensis (Huds.) Link subsp. neglecta (Schult.) Thell. in Hegi [sub],.,+,.,.
,Juncus effusus L.,.,+,.,.
,Ficus carica L.,.,1,.,.
,Carex divulsa Stokes in With.,.,2,.,.
,Carex distans L.,.,.,+,.
,Juglans regia L.,.,.,+,.
,Geranium lucidum L.,.,.,+,.
,Scandix australis L. subsp. microcarpa (Lange) Thell. in Hegi [sub],.,.,+,.
,Serapias lingua L.,.,.,+,.
,Crepis capillaris (L.) Wallr.,.,.,+,.
,Rumex crispus L.,.,.,.,+
,Petroselinum crispum (Mill.) A.W. Hill,.,.,.,+
,Lathyrus hirsutus L.,.,.,.,+
