,,1,2,3,4,5,6,7,8,9,10,11
,Quercus pyrenaica Willd.,3,3,2,3,4,3,3,3,3,3,3
,Pyrus cordata Desv.,2,2,4,3,+,+,1,1,2,1,2
,Cruciata glabra (L.) Ehrend.,.,.,.,.,1,1,.,1,.,.,.
,Geum sylvaticum Pourr.,.,.,.,.,2,1,.,1,.,.,.
,Genista tournefortii Spach,.,.,.,+,+,.,.,.,.,.,.
,Fraxinus angustifolia Vahl,.,.,.,.,.,.,.,.,.,2,.
,Crataegus monogyna Jacq.,2,1,2,2,2,2,2.2,.,2,3,3
,Prunus spinosa L.,2,2,.,.,.,2,.,.,.,.,.
,Rosa canina L.,1,1,.,.,1,2,.,.,.,2,.
,Prunus insititia L.,.,.,1,1,.,.,.,.,.,.,.
,Rosa corymbifera Borkh.,+,.,1,1,.,.,.,.,2,.,.
,Rosa micrantha Borrer ex Sm. in Sowerby,.,.,.,.,.,.,.,1,.,.,.
,Rosa pouzinii Tratt.,.,.,.,.,.,.,2,.,.,.,.
,Rubus ulmifolius Schott,.,.,.,.,.,.,.,.,2,2,.
,Rhamnus cathartica L.,.,.,.,.,.,.,.,.,2,.,.
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],2,.,.,.,.,.,.,.,.,.,.
,Quercus faginea Lam.,.,2,.,.,.,2,2,2,.,.,.
,Paeonia broteri Boiss. & Reut. [sub],+,1,.,.,2,2,2,1,.,1,1
,Daphne gnidium L.,2,.,.,+,1,1,1,1,.,.,2
,Quercus rotundifolia Lam.,+,1,2,.,.,.,.,.,.,.,1
,Carex distachya Desf.,.,.,.,.,1,.,.,1,.,.,.
,Quercus suber L.,.,.,.,.,.,+,.,.,.,.,.
,Cytisus scoparius (L.) Link,2,2,1,1,+,.,+,.,.,1,1
,Cytisus multiflorus (L'Hér.) Sweet,2,.,.,.,.,.,.,.,1,2,.
,Genista hystrix Lange,.,.,2,2,.,.,.,.,.,.,.
,Lavandula pedunculata Cav.,.,.,+,1,.,1,.,.,.,.,1
,Cistus populifolius L.,.,.,.,.,.,1,.,1,.,.,.
,Cistus ladanifer L. [sub],.,.,.,.,.,1,.,1,.,.,.
,Cistus laurifolius L.,.,.,.,.,.,2,.,+,.,.,.
,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo [sub],.,.,.,.,.,+,.,.,.,.,+
,Cistus psilosepalus Sweet,.,.,.,.,+,.,.,1,.,.,.
,Cistus Xpopulifolius_X_ladanifer,.,.,.,.,+,.,.,.,.,.,.
,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,.,.,.,1,.,.,.,.,.
,Thymus mastichina L.,.,.,.,.,.,.,.,.,.,.,+
,Clinopodium vulgare L.,.,.,.,.,.,.,.,.,+,.,1
,Aristolochia paucinervis Pomel,.,.,.,.,2,.,.,.,.,1,.
,Trifolium ochroleucon Huds.,.,.,.,.,1,.,.,.,.,.,.
,Teucrium scorodonia L.,.,.,.,.,1,.,.,.,.,.,.
,Inula salicina L.,.,.,.,.,.,2,.,.,.,.,.
,Rumex acetosa L.,.,.,.,.,.,1,.,.,.,.,.
,Stachys officinalis (L.) Trevis.,.,.,.,.,.,1,.,.,.,.,.
,Galium frutescens,.,.,.,.,.,.,.,1,.,.,.
,Vincetoxicum nigrum (L.) Moench,.,.,.,.,.,.,.,.,.,.,1
,Thapsia villosa L.,1,.,.,1,1,.,.,.,.,.,.
,Asphodelus aestivus Brot. [sub],.,.,.,.,1,1,1,1,.,1,.
,Filipendula vulgaris Moench [sub],.,.,.,.,1,1,.,.,.,.,.
,Anemone palmata L.,.,.,.,.,+,.,.,.,.,.,+
,Carduus carpetanus Boiss. & Reut.,.,.,.,.,.,.,.,.,.,.,1
,Bryonia dioica Jacq.,.,1,.,.,.,.,.,.,1,.,.
,Cirsium vulgare (Savi) Ten. [sub],.,.,.,.,+,.,.,.,.,.,.
,Orchis morio L. subsp. picta (Loisel.) Arcang.,.,.,.,.,.,+,.,.,.,.,.
,Geranium lucidum L.,.,.,.,.,.,.,.,.,1,.,.
