,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,1,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,,,,1,2,3,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,1,2,3,4,5,6,7,,,,1,2,,,,1,2,3,4
,Anthoxanthum odoratum L.,1,+,1,+,1,+,+,.,.,.,,,Quercus pyrenaica Willd.,4,4,5,5,5,5,5,5,5,,,Quercus pyrenaica Willd.,4,4,5,3,4,5,,,Quercus pyrenaica Willd.,4,4,4,4,5,4,4,4,4,4,5,5,4,5,2,2,4,+,1,2,,,Quercus pyrenaica Willd.,3,,,Quercus pyrenaica Willd.,5,5,5,,,Quercus pyrenaica Willd.,4,,,Quercus pyrenaica Willd.,1,2,3,1,,,Quercus pyrenaica Willd.,5,4,4,,,Quercus pyrenaica Willd.,4,4,5,,,Acinos alpinus (L.) Moench,+,.,+,+,.,.,.,1,.,.,.,.,,,Quercus pyrenaica Willd.,5,5,4,4,5,4,5,4,5,4,4,4,5,4,3,,,Quercus pyrenaica Willd.,4,5,5,4,4,5,5,,,Quercus pyrenaica Willd.,4,4,,,Pulmonaria longifolia (Bast.) Boreau,1,1,2,+
,Calluna vulgaris (L.) Hull,+,.,.,.,.,.,.,.,.,.,,,Geum sylvaticum Pourr.,+,+,.,1,1,1,1,+,1,,,Clinopodium gr. vulgare L. [sub],1,1,1,1,1,1,,,Hedera helix L.,1,2,.,1,1,.,1,2,1,+,3,3,2,3,+,2,2,4,4,3,,,Potentilla montana Brot.,2,,,Festuca heterophylla Lam.,2,.,1,,,Quercus robur L.,2,,,Corylus avellana L.,2,1,3,4,,,Festuca heterophylla Lam.,2,2,1,,,Betula pubescens Ehrh. [sub],3,2,4,,,Ajuga reptans L.,.,.,.,.,.,+,.,.,.,.,.,.,,,Melica uniflora Retz.,3,3,2,1,1,3,3,3,1,3,.,1,3,1,1,,,Lathyrus linifolius (Reichard) Bässler,1,1,+,.,.,2,1,,,Teucrium scorodonia L.,+,+,,,Potentilla sterilis (L.) Garcke,2,+,1,.
,Hepatica nobilis Schreb.,+,1,.,.,.,+,.,.,.,+,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],1,1,1,+,1,+,.,.,.,,,Melampyrum pratense L.,2,2,2,1,1,.,,,Rosa arvensis Huds.,+,+,.,1,+,.,1,+,.,1,2,+,+,2,+,1,1,2,1,1,,,Festuca heterophylla Lam.,2,,,Genista florida L. [sub],1,.,+,,,Melampyrum pratense L.,2,,,Ligustrum vulgare L.,2,1,2,2,,,Melampyrum pratense L.,1,1,2,,,Festuca heterophylla Lam.,.,1,2,,,Anthoxanthum odoratum L.,.,.,.,.,.,.,.,.,1,.,.,1,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,3,3,2,1,2,1,2,2,1,.,1,1,1,2,1,,,Teucrium scorodonia L.,1,+,+,+,.,.,.,,,Lathyrus linifolius (Reichard) Bässler,1,.,,,Stellaria holostea L.,1,.,3,2
,Lonicera periclymenum L.,+,+,+,+,1,.,.,.,1,1,,,Helleborus viridis L. subsp. occidentalis (Reut.) Schiffn.,1,+,+,.,+,1.1,.,+,.,,,Conopodium arvense (Coss.) Calest. [sub],1,1,1,1,1,.,,,Lonicera periclymenum L.,2,3,.,3,2,1,2,3,3,2,.,2,3,2,1,3,.,2,2,.,,,Holcus mollis L.,1,,,Holcus mollis L.,.,3,3,,,Hedera helix L.,1,,,Hedera helix L.,2,1,3,2,,,Teucrium scorodonia L.,1,2,1,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],1,+,.,,,Aquilegia vulgaris L.,.,+,.,.,.,.,.,.,.,.,.,.,,,Stellaria holostea L.,3,2,3,3,3,2,3,2,1,2,.,1,3,+,.,,,Festuca heterophylla Lam.,2,1,2,.,.,.,.,,,Festuca heterophylla Lam.,1,.,,,Dactylis glomerata L. [sub],2,2,(+),.
,Luzula forsteri (Sm.) DC. in Lam. & DC.,1,1,+,1,+,+,+,.,+,.,,,Teucrium scorodonia L.,1,1,1,.,.,.,1,2,1,,,Cruciata laevipes Opiz,1,1,+,1,1,.,,,Fagus sylvatica L.,+,.,.,1,1,.,2,+,+,.,+,+,1,+,4,4,3,4,4,4,,,Pulmonaria longifolia (Bast.) Boreau,2,,,Teucrium scorodonia L.,1,.,2,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,,,Cornus sanguinea L.,2,2,+,2,,,Brachypodium sylvaticum (Huds.) P. Beauv.,1,2,2,,,Melampyrum pratense L.,+,.,4,,,Arenaria montana L.,1,2,1,+,1,2,3,1,2,1,1,.,,,Viola sylvestris Lam. subsp. sylvestris [sub],1,1,1,+,+,1,1,+,1,1,+,.,.,1,.,,,Vaccinium myrtillus L.,.,.,.,3,4,2,.,,,Galium rotundifolium L.,+,.,,,Geum urbanum L.,+,.,.,.
,Melampyrum pratense L.,2,+,1,+,1,+,.,.,+,2,,,Melampyrum pratense L.,.,.,+,.,1,2,2,3,3,,,Teucrium scorodonia L.,1,1,1,1,+,.,,,Poa nemoralis L.,1,.,.,1,1,1,+,.,.,1,.,1,+,2,+,1,1,+,+,1,,,Physospermum cornubiense (L.) DC.,1,,,Galium rotundifolium L.,.,1,.,,,Poa nemoralis L.,2,,,Viburnum lantana L.,1,1,+,+,,,Physospermum cornubiense (L.) DC.,1,1,1,,,Stellaria holostea L.,+,1,.,,,Aristolochia paucinervis Pomel [sub],1,1,+,.,.,.,.,1,+,+,.,+,,,Melampyrum pratense L.,1,1,+,.,.,3,.,3,2,2,3,.,3,3,3,,,Galium rotundifolium L.,+,+,+,.,.,.,.,,,Vaccinium myrtillus L.,.,2,,,Sanicula europaea L.,+,2,.,.
,Stellaria holostea L.,+,1,.,.,+,+,.,.,+,1,,,Brachypodium sylvaticum (Huds.) P. Beauv.,3,2,+,2,.,.,.,.,1,,,Crataegus monogyna Jacq.,+,+,2,+,.,2,,,Euphorbia amygdaloides L.,+,+,+,.,.,+,+,+,+,.,1,.,+,1,.,+,.,+,+,+,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,1,,,Avenella flexuosa (L.) Drejer [sub],.,.,2,,,Ruscus aculeatus L.,+,,,Euphorbia amygdaloides L.,+,+,+,+,,,Clinopodium vulgare L.,2,1,2,,,Quercus petraea (Matt.) Liebl.,3,.,3,,,Asphodelus aestivus Brot.,.,.,.,.,.,.,.,.,+,1,.,1,,,Festuca heterophylla Lam.,.,2,.,2,2,1,1,2,2,1,.,.,2,.,1,,,Avenella flexuosa (L.) Drejer [sub],.,.,.,+,.,1,.,,,Sorbus aucuparia L.,.,+,,,Brachypodium sylvaticum (Huds.) P. Beauv. [sub],2,.,3,2
,Quercus pyrenaica Willd.,3,+,.,5,4,5,5,5,5,5,,,Poa nemoralis L.,2,2,2,.,.,1,.,.,1,,,Stachys officinalis (L.) Trevis.,1,1,2,.,1,1,,,Teucrium scorodonia L.,1,1,1,1,1,1,1,.,1,2,+,.,1,2,.,.,1,.,.,.,,,Veronica officinalis L.,1,,,Poa nemoralis L.,1,2,2,,,Avenella flexuosa (L.) Drejer [sub],3,,,Holcus mollis L.,+,+,+,.,,,Stellaria holostea L.,2,1,2,,,Physospermum cornubiense (L.) DC.,2,3,.,,,Astragalus glycyphyllos L.,.,.,.,.,.,.,.,.,+,.,.,+,,,Veronica officinalis L.,+,+,.,.,+,+,.,.,+,+,1,.,.,1,1,,,Sorbus aucuparia L.,.,.,.,+,+,.,.,,,Avenella flexuosa (L.) Drejer [sub],.,+,,,Arum maculatum L.,+,.,.,.
,Vicia sepium L.,+,+,.,.,.,+,.,.,.,.,,,Primula veris L. subsp. columnae (Ten.) Maire & Petitm.,1,1,+,.,+,.,.,.,+,,,Physospermum cornubiense (L.) DC.,1,1,1,.,1,1,,,"Festuca heterophylla Lam. subsp. braun-blanquetii Fuente, Ortúñez & Ferrero Lom. [sub]",1,.,1,1,1,1,1,1,1,1,.,+,.,+,+,+,.,.,.,.,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],1,,,Acer campestre L.,+,.,2,,,Ranunculus tuberosus Lapeyr. [sub],+,,,Acer campestre L.,1,1,.,2,,,Potentilla sterilis (L.) Garcke,2,1,2,,,Teucrium scorodonia L.,+,+,.,,,Athyrium filix-femina (L.) Roth,+,+,.,.,.,.,.,.,.,.,.,.,,,Ilex aquifolium L.,.,1,+,.,+,+,.,+,.,.,.,.,.,.,.,,,Fagus sylvatica L.,1,+,2,+,+,.,.,,,Fagus sylvatica L.,+,+,,,Geum sylvaticum Pourr. [sub],2,.,.,.
,Hieracium murorum L.,+,.,.,.,.,.,+,.,.,.,,,Stellaria holostea L.,.,1,1,.,+,2,.,1,.,,,Stellaria holostea L.,1,1,1,.,1,.,,,Primula acaulis (L.) L.,.,+,.,.,2,.,.,.,.,.,2,+,+,1,.,+,+,1,1,2,,,Potentilla sterilis (L.) Garcke,1,,,Crataegus monogyna Jacq.,1,+,.,,,Polypodium cambricum L. subsp. cambricum [sub],1,,,Brachypodium sylvaticum (Huds.) P. Beauv.,1,.,2,1,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,2,2,2,,,Pyrus communis L. [sub],.,2,3,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,.,.,1,.,.,1,1,.,1,1,,,Quercus petraea (Matt.) Liebl.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,+,+,.,.,.,.,,,Ranunculus tuberosus Lapeyr. [sub],+,.,,,Melica uniflora Retz.,.,2,.,.
