,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,1,2,3,4,5,6,7,,,,,1,,,Pistacia terebinthus L.,2,2,1,2,3,2,3,2,1,2
,Quercus broteroi (Cout.) Rivas-Martínez,3,3,4,3,2,3,4,3,3,4,3,4,3,4,,,,Quercus broteroi (Cout.) Rivas-Martínez,4,5,4,4,5,3,4,,,,Quercus broteroi (Cout.) Rivas-Martínez,4,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus [sub],.,+,2,2,+,2,1,2,2,3
,Phillyrea angustifolia L.,1,2,1,+,1,1,2,+,2,+,1,1,2,+,,,,Arbutus unedo L.,2,1,+,+,.,1,.,,,,Pistacia terebinthus L.,2,,,Teucrium fruticans L.,1,1,2,1,+,+,1,1,+,.
,Arbutus unedo L.,+,1,2,2,2,+,2,2,2,1,2,+,1,+,,,,Viburnum tinus L.,2,2,1,+,.,+,.,,,,Quercus suber L.,1,,,Phillyrea latifolia L. [sub],+,.,.,1,+,2,2,.,+,1
,Quercus suber L.,2,3,3,2,3,3,2,.,1,1,+,.,2,1,,,,Rubia peregrina L.,1,1,.,.,+,.,.,,,,Ruscus aculeatus L.,+,,,Lonicera implexa Aiton,2,1,+,1,1,1,+,.,1,+
,Viburnum tinus L.,.,2,3,2,3,.,2,.,2,+,2,1,2,1,,,,Daphne gnidium L.,+,+,1,1,.,.,.,,,,Jasminum fruticans L.,1,,,Daphne gnidium L.,+,1,1,+,.,1,1,1,+,.
,Daphne gnidium L.,+,+,+,.,+,+,.,1,1,.,+,+,1,+,,,,Phillyrea angustifolia L.,.,+,1,2,1,1,.,,,,Daphne gnidium L.,1,,,Scrophularia scorodonia L.,1,1,1,.,1,+,.,.,1,1
,Erica arborea L.,1,.,2,+,+,.,1,.,1,.,1,.,1,+,,,,Quercus rotundifolia Lam.,.,.,.,+,.,+,1,,,,Osyris alba L.,1,,,Ferula communis L.,+,1,.,1,2,.,+,+,.,.
,Pistacia terebinthus L.,1,.,.,.,2,.,2,.,2,.,.,+,2,2,,,,Paeonia broteri Boiss. & Reut. [sub],.,.,+,.,+,.,.,,,,Tamus communis L.,+,,,"Delphinium fissum Waldst. & Kit. subsp. sordidum (Cuatrec.) Amich, E. Rico & J. Sánchez [sub]",+,.,.,.,.,1,1,.,.,.
,Paeonia broteri Boiss. & Reut. [sub],.,.,+,.,2,+,.,.,1,.,.,+,+,1,,,,Pistacia terebinthus L.,.,.,.,.,.,1,3,,,,Arum italicum Mill.,1,,,Lonicera periclymenum L.,+,.,1,+,1,+,1,.,+,.
,Ruscus aculeatus L.,.,+,1,.,+,.,.,.,.,1,.,+,.,+,,,,Erica arborea L.,+,.,2,1,.,.,.,,,,Cytisus scoparius (L.) Link subsp. scoparius [sub],1,,,Genista falcata Brot.,.,.,.,1,.,.,.,.,.,.
,Quercus rotundifolia Lam.,.,2,.,.,+,.,+,.,.,.,.,+,1,1,,,,Smilax aspera L. [sub],.,2,.,.,.,.,.,,,,Retama sphaerocarpa (L.) Boiss.,+,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,+,+,1,.,.,.,1,.,.
,Phillyrea latifolia L.,.,3,.,.,.,.,.,+,.,2,1,.,2,1,,,,Quercus pyrenaica Willd.,.,.,1,1,.,.,.,,,,,,,,Cistus psilosepalus Sweet [sub],+,1,.,.,.,.,.,.,.,.
,Osyris alba L.,.,+,1,.,1,.,.,+,.,1,.,1,1,.,,,,Crataegus monogyna Jacq.,.,.,1,+,.,.,.,,,,,,,,Adenocarpus argyrophyllus (Rivas Goday) Caball. [sub],1,.,.,.,.,.,.,.,.,.
,Carex distachya Desf.,.,.,.,+,.,.,.,1,+,.,+,1,+,1,,,,Quercus canariensis Willd.,.,.,+,1,.,.,.,,,,,,,,Lithodora diffusa (Lag.) I. M. Johnston [sub],.,+,.,.,.,.,.,.,.,.
,Teucrium scorodonia L.,.,.,1,.,.,2,.,.,1,+,1,+,+,+,,,,Quercus Xjahandiezii A. Camus [sub],.,.,.,1,1,.,.,,,,,,,,Elaeoselinum foetidum (L.) Boiss.,.,.,+,1,+,1,+,+,.,+
,Acer monspessulanum L.,+,.,.,.,+,2,.,.,+,.,.,.,1,+,,,,Quercus suber L.,1,.,.,.,.,.,.,,,,,,,,Biarum tenuifolium (L.) Schott,.,.,.,+,.,+,+,.,.,.
,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,+,.,+,1,.,+,1,.,1,.,1,,,,Cistus populifolius L.,1,+,.,+,2,.,.,,,,,,,,Hypericum perfoliatum L.,.,.,1,+,1,.,1,.,+,.
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],+,.,.,.,.,1,.,+,.,+,1,.,.,+,,,,Cistus crispus L.,+,.,.,.,+,.,.,,,,,,,,Nepeta multibracteata subsp. lusitanica,.,.,1,1,.,1,.,.,.,.
,Cytisus scoparius (L.) Link,.,1,2,.,.,2,.,.,.,.,1,.,1,1,,,,Cistus salviifolius L. [sub],+,.,.,+,+,+,.,,,,,,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,.,.,.,.,.,.,+,2
,Origanum virens Hoffmanns. & Link,.,+,.,.,.,2,1,.,.,.,1,.,+,1,,,,Rubus ulmifolius Schott,1,1,.,.,+,2,.,,,,,,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,.,.,.,.,.,.,1,2
,Cistus ladanifer L. [sub],.,.,.,.,1,.,1,+,1,.,.,+,1,.,,,,Tamus communis L.,+,1,.,.,.,1,2,,,,,,,,Asparagus albus L.,.,.,.,.,.,.,.,.,+,.
,Conopodium marianicum,.,.,.,.,.,2,1,.,.,.,+,1,1,.,,,,Fraxinus angustifolia Vahl,.,.,.,.,+,+,.,,,,,,,,Phlomis purpurea L.,.,.,.,.,.,.,.,.,1,+
,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,1,.,.,.,2,.,+,.,1,1,.,.,.,,,,Lonicera implexa Aiton,1,.,.,.,.,+,+,,,,,,,,Pistacia lentiscus L.,.,.,.,.,.,.,.,+,1,+
,Tamus communis L.,.,.,.,1,.,.,1,.,.,1,.,.,.,1,,,,Rosa sempervirens L.,.,.,.,.,+,.,.,,,,,,,,Origanum virens Hoffmanns. & Link,+,.,+,+,+,1,+,2,.,+
,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,.,.,1,+,1,2,.,.,.,+,.,.,,,,Vincetoxicum nigrum (L.) Moench,.,.,+,.,+,.,.,,,,,,,,Epipactis helleborine (L.) Crantz [sub],.,.,.,.,.,.,.,+,.,+
,Cistus populifolius L.,.,.,.,.,.,.,.,.,1,+,1,.,+,.,,,,Cistus ladanifer L. [sub],.,.,+,+,+,+,.,,,,,,,,Stachys germanica L. [sub],.,+,1,+,1,.,+,+,+,+
,Cytisus striatus (Hill) Rothm. [sub],.,.,.,.,.,+,.,.,2,.,2,.,+,.,,,,Thymus mastichina L.,.,.,+,.,.,.,.,,,,,,,,Silene patula Desf.,+,.,.,+,.,.,.,+,+,.
