,,1,2,3,4,5,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,,,,66,67,68,69,70
,Quercus Xauzandrii Gren. & Godr. [sub],3,4,3,3,3,,,Quercus coccifera L.,4,,,Quercus Xauzandrii Gren. & Godr. [sub],4,3,3,3,2,1,2,1,2,+,2,,A,Pistacia lentiscus L.,.,.,.,.,.
,Quercus coccifera L.,3,3,3,3,2,,,Quercus Xauzandrii Gren. & Godr. [sub],2,,,Quercus coccifera L.,.,1,2,3,3,4,4,3,3,4,4,,a,Pistacia lentiscus L.,3,.,1,.,1
,Pistacia lentiscus L.,1,2,1,2,2,,,Quercus rotundifolia Lam.,+,,,Quercus rotundifolia Lam.,1,+,+,2,1,1,1,2,1,2,.,,,Juniperus phoenicea L. subsp. turbinata (Guss.) Nyman [sub],.,.,.,.,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1,2,2,+,1,,,Rhamnus alaternus L.,2,,,Rhamnus alaternus L.,1,2,1,1,2,.,.,1,1,1,1,,,Myrtus communis L.,.,.,.,.,.
,Rhamnus alaternus L.,1,1,1,+,1,,,Smilax aspera L.,1,,,Asparagus aphyllus L.,+,+,.,+,+,+,.,+,+,+,+,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,1,.,.
,Quercus rotundifolia Lam.,+,1,+,1,1,,,Asplenium onopteris L.,1,,,Pistacia lentiscus L.,1,3,.,.,1,1,1,2,1,.,1,,,Quercus coccifera L.,1,3,4,2,4
,Daphne gnidium L.,+,1,+,1,+,,,Euphorbia characias L.,+,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,+,+,+,+,.,.,1,+,.,+,,,Quercus Xauzandrii Gren. & Godr. [sub],4,3,1,3,2
,Lonicera implexa Aiton,+,+,+,1,1,,,Rubia peregrina L.,+,,,Daphne gnidium L.,.,1,+,+,1,.,.,1,1,1,+,,,Calicotome villosa (Poir.) Link,.,.,.,.,.
,Smilax aspera L.,+,+,+,+,+,,,Osyris alba L.,+,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl. [sub],+,.,.,.,1,1,+,1,+,+,.,,,Quercus lusitanica Lam.,.,.,.,.,.
,Asparagus aphyllus L.,+,+,+,+,+,,,Genista triacanthos Brot.,+,,,Scilla monophyllos Link,.,+,+,.,+,.,+,.,+,.,1,,,Juniperus navicularis Gand.,.,.,.,.,.
