,,1,2,3,4,5,6,7,8,9,10,11
,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,3,4,2,4,3,3,3,4,3,3,4
,Quercus faginea Lam. subsp. alpestris (Boiss.) Maire,1,3,1,1,.,1,+,1,2,1,1
,Quercus faginea Lam. subsp. faginea [sub],1,3,1,1,.,1,+,1,2,1,1
,Hyacinthoides hispanica (Mill.) Rothm.,.,+,1,+,+,+,+,1,1,2,1
,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,2,1,2,2,+,+,1
,Quercus Xjahandiezii A. Camus [sub],.,.,.,.,.,.,.,.,+,+,+
,Viburnum tinus L.,1,3,2,1,3,2,3,1,3,3,3
,Rubia peregrina L. [sub],+,2,1,1,2,1,1,2,1,1,+
,Carex halleriana Asso [sub],+,+,1,1,r,+,+,.,+,1,.
,Phillyrea latifolia L.,.,1,.,.,+,+,+,2,+,1,+
,Daphne gnidium L.,+,+,+,+,+,.,+,.,+,+,.
,Lonicera implexa Aiton,1,+,1,+,.,.,1,+,.,+,+
,Smilax aspera L.,.,.,2,.,3,.,2,3,1,3,3
,Arisarum simorrhinum Durieu [sub],.,2,1,.,+,.,.,2,1,2,1
,Clematis flammula L.,.,+,1,.,1,1,.,+,.,1,+
,Asparagus acutifolius L.,.,1,.,.,+,+,1,+,.,+,+
,Quercus rotundifolia Lam.,2,+,1,+,.,.,.,.,+,1,.
,Ruscus aculeatus L.,.,+,.,.,.,+,.,+,2,+,+
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1,.,+,.,+,.,.,.,+,+,.
,Smilax aspera L.,2,3,.,3,.,3,.,.,.,.,.
,Anemone palmata L.,1,1,.,.,.,.,.,+,.,+,.
,Rhamnus alaternus L.,1,1,.,2,.,.,.,2,.,.,.
,Phillyrea latifolia L. [sub],.,+,.,.,.,.,.,.,.,+,+
,Quercus canariensis Willd.,.,.,.,.,.,.,.,.,+,+,+
,Quercus Xjahandiezii A. Camus,.,.,.,.,.,.,.,.,.,+,+
,Lonicera etrusca G. Santi,.,.,.,.,.,+,.,.,.,.,+
,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl.,.,.,.,.,.,.,+,.,.,.,.
,Neotinea maculata (Desf.) Stearn,.,.,.,.,.,.,.,.,+,.,.
,Arbutus unedo L.,3,2,2,2,2,3,3,3,.,2,2
,Scilla peruviana L.,1,2,.,1,+,.,2,2,+,+,+
,Genista hirsuta Vahl subsp. hirsuta [sub],+,+,+,+,+,.,.,+,+,+,+
,Phillyrea angustifolia L.,.,2,+,.,r,+,+,.,1,1,1
,Pistacia lentiscus L.,2,+,+,1,.,+,+,+,+,.,.
,Ulex argenteus Welw. ex Webb,.,+,.,+,+,+,+,+,+,.,+
