,,1,2,3,4,5,6,7,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,1,2,,,,1,2,3,4,5,6,7,8,9
,Hedera helix L.,4,5,3,3,4,3,3,,,,Quercus robur L.,4,5,5,5,4,4,r,4,3,5,4,5,4,+,+,3,3,4,2,,Quercus robur L.,3,4,,,Quercus robur L.,5,4,4,1,4,2,1,2,1
,Lonicera periclymenum L.,1,2,1,2,1,2,1,,,,Ruscus aculeatus L.,3,2,+,+,1,3,+,1,.,+,2,+,+,1,.,1,1,2,2,,Castanea sativa Mill.,3,1,,,Linaria triornithophora (L.) Willd.,+,+,+,.,.,.,.,.,.
,Rubia peregrina L.,1,3,1,1,1,1,.,,,,Lonicera periclymenum L.,1,1,1,+,1,1,1,2,1,.,1,+,1,2,1,1,+,1,.,,Betula pubescens Ehrh. [sub],2,.,,,Prunus lusitanica L.,.,.,.,.,.,.,2,2,.
,Ruscus aculeatus L.,1,1,2,+,1,1,.,,,,Teucrium scorodonia L.,1,+,1,+,1,+,1,2,1,1,+,.,1,1,.,1,1,.,1,,Quercus pyrenaica Willd.,.,.,,,Platanthera bifolia (L.) Rich.,+,.,.,.,.,.,.,.,.
,Laurus nobilis L.,3,4,2,3,3,3,1,,,,Holcus mollis L.,1,1,1,.,1,.,3,2,+,1,1,2,2,4,.,.,+,+,1,,Quercus Xrobur_X_pyrenaica,.,.,,,Selinum broteri Hoffmanns. & Link,+,.,.,.,.,.,.,.,.
,Quercus robur L.,.,4,4,5,4,5,r,,,,Hedera helix L.,1,.,2,+,2,2,.,3,1,.,3,3,.,2,.,4,1,4,2,,Rubus ulmifolius Schott,2,+,,,Physospermum aquilegifolium,3,.,.,1,.,(+),.,+,.
,Crataegus monogyna Jacq.,1,1,.,1,2,1,.,,,,Castanea sativa Mill.,+,.,+,.,1,2,+,1,+,+,+,+,+,.,.,1,.,3,.,,Hedera helix L.,2,+,,,Genista falcata Brot.,+,.,.,.,+,.,2,.,+
,Primula acaulis (L.) L.,.,.,+,+,+,.,1,,,,Quercus pyrenaica Willd.,.,.,+,1,2,1,5,3,4,+,.,.,+,5,2,2,.,.,.,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,+,,,Pyrus communis L.,.,.,.,1,r,(+),+,.,.
,Tamus communis L.,.,2,1,1,2,2,1,,,,Asplenium onopteris L.,+,.,+,+,1,.,.,1,+,.,.,.,.,1,.,+,+,1,+,,Stellaria holostea L.,.,.,,,Cirsium filipendulum Lange [sub],+,.,.,.,r,.,+,.,.
,Alnus glutinosa (L.) Gaertn.,.,.,1,.,1,.,4,,,,Tamus communis L.,+,+,+,.,.,+,.,.,+,.,.,.,.,+,.,+,r,2,1,,Holcus mollis L.,2,.,,,Omphalodes nitida (Willd.) Hoffmanns & Link,+,.,.,.,.,.,+,.,.
,Salix atrocinerea Brot.,.,1,1,.,.,.,3,,,,Laurus nobilis L.,2,.,1,.,.,+,.,.,.,.,+,1,.,2,.,1,1,+,.,,Agrostis sp.,2,2,,,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz [sub],.,(+),.,.,.,.,(+),.,.
,Teucrium scorodonia L.,.,+,.,2,+,.,.,,,,Hypericum pulchrum L.,1,1,+,1,+,.,.,+,.,.,.,.,1,.,+,r,.,.,.,,Erica arborea L.,1,r,,,Luzula sylvatica (Huds.) Gaudin subsp. henriquesii (Degen) P.Silva,.,.,.,.,.,.,2,.,.
,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,+,.,.,2,.,+,,,,Frangula alnus Mill.,+,1,.,+,1,+,.,1,.,+,.,.,.,.,.,+,.,.,.,,Teucrium scorodonia L.,r,1,,,Anemone trifolia L. subsp. albida (Mariz) Ulbr.,2,.,.,.,.,.,.,.,.
,Iris foetidissima L.,.,+,+,.,.,.,.,,,,Physospermum cornubiense (L.) DC.,1,1,.,.,.,1,.,.,+,+,.,.,.,.,+,r,.,.,1,,Lonicera periclymenum L. [sub],+,+,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],2,1,2,(+),2,(+),.,2,.
,Polystichum setiferum (Forssk.) Woyn.,.,.,.,.,+,.,1,,,,Prunus avium L.,.,.,+,+,.,.,.,.,+,.,.,.,.,+,.,+,.,+,.,,Dactylis glomerata L.,.,.,,,Quercus pyrenaica Willd.,.,1,2,.,.,.,+,+,.
,Sambucus nigra L.,.,+,.,.,.,.,1,,,,Euphorbia amygdaloides L.,1,1,.,+,.,.,.,.,r,.,.,+,.,.,.,.,.,.,.,,Carex sp.,2,1,,,Ilex aquifolium L.,.,.,.,+,+,2,.,2,.
