,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,50,51,52,53,54,55,56,57,58,59,60,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,Quercus rotundifolia Lam.,2,,,Quercus rotundifolia Lam.,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,3,4,,,Quercus suber L.,.,.,.,.,.,.,.,.,.,.,.,,,Quercus rotundifolia Lam.,4,,a,Adenocarpus telonensis (Loisel.) DC. in Lam. & DC.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,+,.,.
,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],1,,,Daphne gnidium L.,+,+,1,+,+,.,1,+,+,2,+,1,1,+,+,+,+,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus [sub],.,.,.,.,.,.,+,1,.,.,.,,,Aristolochia baetica L.,3,,h,Ajuga iva (L.) Schreb.,.,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,Osyris quadripartita Salzm. ex Decne. [sub],2,,,Smilax aspera L.,2,1,1,2,2,2,1,.,1,.,1,2,1,3,2,2,2,,,Quercus rotundifolia Lam.,4,5,4,4,4,4,5,4,4,4,3,,,Rubia peregrina L. [sub],3,,h,Alyssum serpyllifolium Desf.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi,1,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],2,.,1,2,2,1,1,2,2,.,+,1,2,+,+,+,1,,,Quercus coccifera L. [sub],.,.,.,.,.,.,.,.,.,.,.,,,Pistacia lentiscus L.,2,,h,Anagallis arvensis L.,.,.,.,.,.,r,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Phillyrea latifolia L.,+,,,Arisarum simorrhinum Durieu [sub],2,.,2,1,2,+,2,2,1,1,.,1,2,1,1,.,1,,,Lavandula viridis L'Hér.,.,.,.,.,.,.,.,.,.,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi,2,,a,Anagyris foetida L.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Lonicera implexa Aiton,+,,,Rubia peregrina L. [sub],1,.,.,1,1,+,1,2,2,+,1,.,1,1,1,1,1,,,Quercus lusitanica Lam.,.,.,.,.,.,.,.,.,.,.,.,,,Rhamnus alaternus L.,2,,h,Anemone palmata L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.
,Pistacia terebinthus L.,+,,,Quercus coccifera L.,.,.,1,+,+,.,.,.,.,1,+,+,+,+,1,1,+,,,Bupleurum fruticosum L.,.,.,.,.,.,.,.,.,.,.,.,,,Crataegus monogyna Jacq. [sub],2,,a,Anthyllis cytisoides L.,.,.,.,.,+,.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
,Pistacia lentiscus L.,1,,,Lonicera implexa Aiton,.,.,.,+,1,.,+,.,+,.,+,.,1.1,+,1,2,2,,,Rhaponticoides fraylensis (Sch. Bip. ex Nyman) M.V. Agab. & Greuter [sub],.,.,.,.,.,.,.,.,.,.,.,,,Calicotome villosa (Poir.) Link,1,,a,Arbutus unedo L.,.,.,.,.,(+),.,.,.,.,.,.,+,.,.,.,.,1,.,.,.,.,.,3,.,1,.,.
,Aristolochia baetica L.,+,,,Rhamnus alaternus L.,.,.,.,1,2,.,2,+,3,1,1,+,.,+,+,+,1,,,Serratula aristata,.,.,.,.,.,.,.,.,.,.,.,,,Ceratonia siliqua L.,1,,h,Arisarum simorrhinum Durieu,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,+,.,.
,Asparagus acutifolius L.,+,,,Asparagus acutifolius L.,2,1,.,+,+,.,1,.,.,+,.,.,1,+,.,+,1,,,Centaurea crocata Franco,.,.,.,.,.,.,.,.,.,.,.,,,Daphne gnidium L.,1,,h,Arisarum vulgare Targ.-Tozz.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.
