,,1
,Juniperus oxycedrus L.,2
,Pistacia lentiscus L.,2
,Daphne gnidium L.,+
,Rubia peregrina L. [sub],+
,Myrtus communis L.,+
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],1
,Arisarum simorrhinum Durieu [sub],1
,Phillyrea angustifolia L.,2
,Rhamnus alaternus L.,1
,Erica arborea L.,3
,Smilax aspera L.,1
,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],+
,Viburnum tinus L.,1
,Arbutus unedo L.,1
,Ruscus aculeatus L.,+
,Carex distachya Desf.,+
,Asparagus acutifolius L.,1
,Quercus suber L.,3
,Sanguisorba hybrida (L.) Font Quer,+
,Selaginella denticulata (L.) Spring,1
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],+
,Urginea fugax (Moris) Steinh. [sub],1
,Pulicaria odora (L.) Rchb.,+
,Calamintha nepeta (L.) Savi subsp. nepeta [sub],+
,Origanum virens Hoffmanns. & Link,+
,Pteridium aquilinum (L.) Kuhn in Kerst.,1
,Cytisus striatus (Hill) Rothm.,+
,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],1
,Thapsia villosa L.,+
,Ruta chalepensis L.,+
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+
,Vicia angustifolia L. [sub],+
,Cistus populifolius L.,+
,,
,"Costa, J. C.; Capelo, J.H.; Lousã, M.F.; Aguiar, C.; (1993); Communautés de Juniperus au Portugal.; Coll. Phytosoc. Syntaxonomie typologique des habitats, Vol XXII:; tabla 010",
