,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,Quercus broteroi (Cout.) Rivas-Martínez,3,3,4,3,3,3,4,3,4,4,3,4,3,3,3,4
,Daphne gnidium L.,2,.,2,1,2,2,2,2,2,2,2,2,2,1,.,.
,Rubia peregrina L.,2,.,1,1,2,.,1,1,1,2,.,1,+,1,2,+
,Smilax aspera L.,2,1,2,1,.,.,.,.,2,2,1,3,3,.,2,2
,Quercus suber L.,3,.,3,3,2,3,3,3,.,.,.,.,.,2,2,.
,Olea europaea L.,2,.,2,2,2,2,2,2,.,.,.,.,.,1,1,.
,Quercus coccifera L.,.,.,2,.,.,3,3,2,2,2,2,3,3,.,.,.
,Rhamnus alaternus L.,.,.,.,2,2,.,.,3,2,3,.,2,.,2,2,2
,Ruscus aculeatus L.,1,.,1,.,.,.,.,.,.,.,1,1,2,2,3,2
,Arbutus unedo L.,.,.,.,2,2,2,3,2,.,.,.,2,.,.,1,3
,Pulicaria odora (L.) Rchb.,+,.,1,+,.,+,2,2,.,.,.,.,.,.,.,1
,Pistacia lentiscus L.,.,.,.,.,.,.,.,.,2,2,.,3,3,2,1,2
,Sanguisorba hybrida (L.) Font Quer,1,2,2,2,2,.,.,.,.,.,.,+,.,.,.,.
,Quercus rotundifolia Lam.,.,.,.,.,.,.,2,.,.,.,2,2,2,2,2,.
,Viburnum tinus L.,.,.,.,2,2,.,.,.,.,.,.,.,.,2,2,3
,Pyrus bourgaeana Decne.,.,.,.,2,.,.,.,.,2,.,.,.,.,2,2,3
,Myrtus communis L.,.,.,2,.,.,3,.,2,2,.,.,.,.,.,.,.
,Asparagus aphyllus L.,.,.,1,.,.,.,.,.,.,.,.,+,.,1,1,.
,Asparagus acutifolius L.,.,.,.,.,.,.,.,.,3,3,2,1,.,.,.,.
,Luzula forsteri (Sm.) DC. in Lam. & DC.,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.
,Hedera maderensis K. Koch ex A. Rutherf. subsp. iberica McAllister [sub],1,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.
,Lonicera implexa Aiton,.,.,.,.,.,3,2,3,.,.,.,.,.,.,.,.
,Epipactis lusitanica Tyteca,.,.,.,.,.,1,+,+,.,.,.,.,.,.,.,.
,Phillyrea angustifolia L.,.,.,.,.,.,.,2,2,.,.,.,2,.,.,.,.
,Cephalanthera longifolia (L.) Fritsch,.,.,.,1,+,.,.,.,.,.,.,.,.,.,.,.
,Calicotome villosa (Poir.) Link,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.
,Scilla monophyllos Link,.,.,.,.,.,.,2,.,+,.,.,.,.,.,.,.
,Moehringia pentandra J. Gay,.,.,.,.,.,.,.,.,.,.,.,.,.,1,+,.
,Phillyrea latifolia L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2
,Laurus nobilis L.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.
,Osyris alba L.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.
,Erica arborea L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
,Cistus salviifolius L.,2,2,2,3,.,1,2,3,.,.,2,2,2,1,1,.
,Tamus communis L.,3,1,2,1,1,.,+,+,.,.,.,.,.,2,3,2
,Origanum virens Hoffmanns. & Link,2,1,2,2,1,1,+,1,.,.,+,.,.,.,.,1
,Genista triacanthos Brot.,2,1,2,2,2,2,2,2,2,.,.,.,.,.,.,.
,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],2,.,+,1,.,2,2,2,.,.,.,.,.,1,2,2
,Cistus psilosepalus Sweet,2,3,3,3,3,.,1,.,.,.,2,.,2,.,.,.
,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],1,1,1,2,1,.,+,.,.,.,.,.,.,.,+,.
,Calamintha nepeta (L.) Savi [sub],1,1,1,1,1,1,+,.,.,.,.,.,.,.,.,.
,Rubus ulmifolius Schott,2,.,2,2,2,.,1,1,.,.,.,.,.,.,.,.
,Brachypodium sylvaticum (Huds.) P. Beauv.,1,+,1,1,1,.,.,.,1,.,.,.,.,.,.,.
