,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,1,2,3,4,5,6,7,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7
,Quercus suber L.,3,,,Quercus suber L.,4,3,4,3,4,3,4,3,3,4,4,3,3,3,,,Sanguisorba hybrida (L.) Font Quer [sub],2,2,2,2,+,2,+,,,Quercus suber L.,3,2,2,2,3,2,2,2,2,3,3,,,Sanguisorba hybrida (L.) Font Quer [sub],+,1,+,1,+,+,+
,Phillyrea angustifolia L.,1,,,Phillyrea angustifolia L.,+,2,2,2,2,.,1,2,.,2,2,2,2,2,,,Calamintha nepeta (L.) Savi [sub],+,+,2,+,+,+,2,,,Daphne gnidium L.,1,.,+,+,+,1,1,.,.,+,1,,,Calamintha nepeta (L.) Savi [sub],+,+,+,+,+,+,1
,Erica arborea L.,1,,,Arbutus unedo L.,+,2,1,2,2,+,2,2,2,.,.,+,2,2,,,Luzula forsteri (Sm.) DC. subsp. baetica P. Monts.,+,+,.,2,2,2,+,,,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,.,.,.,3,3,.,.,.,.,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,+,.,1,+,1,+
,Arbutus unedo L.,1,,,Rubia peregrina L.,+,2,1,1,+,.,1,1,1,+,+,.,+,1,,,Viburnum tinus L.,3,2,2,2,2,3,4,,,Arbutus unedo L.,.,.,.,.,.,1,2,.,.,.,.,,,Viburnum tinus L.,2,1,1,1,1,2,2
,Viburnum tinus L.,2,,,Sanguisorba hybrida (L.) Font Quer,1,1,1,1,+,+,.,1,1,.,1,+,1,+,,,Ruscus aculeatus L.,3,2,2,1,3,2,2,,,Quercus rotundifolia Lam.,.,.,.,.,.,.,.,.,1,+,.,,,Ruscus aculeatus L.,2,2,+,1,2,2,1
,Cytisus striatus (Hill) Rothm. [sub],1,,,Daphne gnidium L.,1,2,.,.,2,1,1,.,+,+,1,1,1,1,,,Quercus suber L.,3,3,3,3,3,3,3,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,.,.,.,.,.,+,1,,,Quercus suber L.,5,5,4,4,5,2,3
,Cistus ladanifer L. [sub],1,,,Erica arborea L.,2,2,.,1,2,.,+,.,.,2,.,.,2,1,,,Elaeoselinum foetidum (L.) Boiss.,.,.,2,2,.,2,+,,,Aristolochia paucinervis Pomel,.,.,1,.,.,.,.,.,.,.,.,,,Elaeoselinum foetidum (L.) Boiss.,.,.,+,1,.,+,+
,Cistus populifolius L.,2,,,Quercus broteroi (Cout.) Rivas-Martínez,+,.,.,1,1,+,+,1,1,.,.,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,2,2,2,+,2,+,,,Erica arborea L.,.,.,.,.,.,1,.,.,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,2,+,1,+,1,+
,Erica scoparia L.,+,,,Ruscus aculeatus L.,.,+,.,.,+,+,.,+,+,.,.,.,1,.,,,Teucrium scorodonia L.,+,+,.,.,1.2,.,.,,,Asparagus acutifolius L.,.,.,.,.,.,.,.,.,+,.,.,,,Teucrium scorodonia L.,+,+,.,.,1,.,.
,Erica umbellata Loefl. ex L.,1,,,Osyris alba L.,.,+,.,.,.,2,2,.,+,.,.,2,1,1,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,+,+,1,1,+,1,.,,,Quercus pyrenaica Willd.,+,+,.,1,1,1,1,1,1,2,3,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,+,+,1,1,+,1,.
