,,1,2,3
,Arbutus unedo L.,(+),2,3
,Viburnum tinus L.,+,+,3
,Phillyrea angustifolia L.,2,2,2
,Ruscus aculeatus L.,(+),(+),3
,Rubia peregrina L.,+,.,1
,Quercus coccifera L.,.,.,3
,Smilax aspera L. [sub],.,.,1
,Pistacia lentiscus L.,.,.,(+)
,Rubus sp.,.,.,+
,Ulex europaeus L. subsp. latebracteatus (Mariz) Rothm.,2,3,2
,Cistus libanotis L. [sub],+,(+),r
,Stauracanthus genistoides (Brot.) Samp.,3,.,+
,Halimium halimifolium (L.) Willk. in Willk. & Lange,+,(+),.
,Cistus salviifolius L. [sub],3,+,+
,Calluna vulgaris (L.) Hull,2,2,.
,Scilla monophyllos Link,1,1,.
,Genista triacanthos Brot.,+,.,+
,Erica umbellata Loefl. ex L.,.,2,.
,Agrostis castellana Boiss. & Reut.,(+),.,.
,Aira caryophyllea L.,+,.,.
,Aira praecox L.,+,.,.
,Briza maxima L.,+,.,.
,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis [sub],.,(+),.
,Cytisus hypocistis,(+),.,.
,Teesdalia nudicaulis (L.) R. Br. in W.T. Aiton,+,.,.
,Tuberaria guttata (L.) Fourr.,+,.,.
,Hypochaeris glabra L.,+,.,.
A,Pinus pinaster Aiton,1,1,1
p,Pinus pinaster Aiton,+,+,.
,Erica arborea L.,(+),2,+
,Cytisus grandiflorus (Brot.) DC. [sub],(+),.,+
,Asphodelus lusitanicus Cout.,+,+,.
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,(+),+
m,Hypnum cupressiforme,3,5,.
m,Scleropodium purum,.,4,4
m,Dicranum scoparium,2,2,.
m,Cladonia pyxidata,+,+,.
m,Cladonia rangiferina,2,.,.
m,Polytrichum juniperinum,2,.,.
,Neotinea maculata (Desf.) Stearn [sub],+,.,.
,Lotus corniculatus L.,+,.,.
,Asterolinon linum-stellatum (L.) Duby in A. DC. [sub],+,.,.
,Lonicera periclymenum L.,.,.,+
