,,1,2,3,4,5,6,7,8,9,10
,Quercus rotundifolia Lam.,3,4,4,4,4,4,3,3,4,4
,Teucrium salviastrum Schreb.,2,+,+,+,1,2,1,2,2,2
,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,+,+,1,+,.,.,.
,Asplenium onopteris L.,.,.,.,.,.,1,+,.,.,+
,Phillyrea angustifolia L.,.,.,.,.,.,.,.,+,+,1
,Quercus suber L.,.,.,.,.,.,.,.,.,+,+
,Daphne gnidium L.,.,.,.,.,.,.,.,.,.,+
,Dianthus lusitanus Brot. [sub],+,+,+,.,.,1,+,2,1,1
,Sedum brevifolium DC.,2,+,.,.,.,+,+,+,+,+
,Silene acutifolia Link ex Rohrb.,.,.,.,1,+,+,+,+,2,1
,Digitalis Xpurpurea_subsp._purpurea_X_D._thapsi [sub],.,.,.,.,+,.,.,+,+,.
,Sedum hirsutum All.,.,.,.,.,.,+,.,+,+,+
,Asplenium billotii F.W. Schultz,.,.,+,+,.,+,.,+,.,.
,Digitalis thapsi L.,.,.,+,.,.,+,.,.,.,.
,Conopodium marianum Lange [sub],.,+,1,+,.,1,1,+,+,2
,Erica arborea L.,.,+,2,2,2,2,.,1,.,1
,Cytisus striatus (Hill) Rothm.,.,.,1,+,+,+,.,+,.,+
,Arrhenatherum album (Vahl) W. D. Clayton,.,.,+,.,.,1,.,1,+,.
,Agrostis castellana Boiss. & Reut.,.,1,.,1,1,.,+,.,.,.
,Erica australis L. [sub],2,2,.,.,1,.,1,.,.,.
,Hypochaeris radicata L. [sub],.,+,.,.,+,.,+,+,.,.
,Centaurea paniculata L.,.,+,.,+,+,.,+,.,.,.
,Helictochloa marginata (Lowe) Romero Zarco [sub],2,.,1,.,.,.,+,.,.,.
,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. lasianthum (Spach) Talavera & Gibbs,2,1,.,.,.,.,+,.,.,.
,Festuca summilusitana Franco & Rocha Afonso,1,1,.,.,.,.,1,.,.,.
,Agrostis curtisii Kerguélen,+,1,.,.,.,.,1,.,.,.
,Avenella flexuosa (L.) Drejer [sub],.,.,.,.,.,+,+,.,.,.
,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter [sub],1,+,.,1,1,.,.,.,.,.
,Hypericum linariifolium Vahl [sub],.,1,.,+,+,.,.,.,.,.
,Neoschischkinia truncatula (Parl.) Valdés & H.Scholz [sub],1,1,.,.,.,.,.,.,.,.
,Cytisus multiflorus (L'Hér.) Sweet,2,.,2,+,.,+,.,.,.,.
,Frangula alnus Mill.,.,.,.,+,1,.,.,.,.,.
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,.,.,.,+,.,+,+,+
,Arbutus unedo L.,.,.,.,.,.,.,.,+,3,2
,Coincya monensis (L.) Greuter & Burdet,.,.,.,.,.,.,.,+,.,+
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,+,.,.,.,.,.,.,+
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,+,.,.,.,.,+,.
,Festuca elegans Boiss. [sub],.,.,2,.,.,1,.,.,.,.
,Celtica gigantea (Link) J.M. Vázquez & Barkworth,.,.,+,.,.,.,.,.,.,.
,Lavandula pedunculata Cav.,.,.,1,.,.,.,.,.,.,.
,Cistus ladanifer L. [sub],.,.,+,.,.,.,.,.,.,.
,Calluna vulgaris (L.) Hull,.,.,.,.,1,.,.,.,.,.
,Orobanche rapum-genistae Thuill.,.,.,.,.,+,.,.,.,.,.
,Pinus pinaster Aiton,.,.,.,.,+,.,.,.,.,.
,Reseda media Lag.,.,.,.,.,+,.,.,.,.,.
,Lavandula pedunculata Cav. [sub],.,.,.,.,1,.,.,.,.,.
,Linaria saxatilis (L.) Chaz.,.,.,.,.,.,r,.,.,.,.
,Murbeckiella sousae Rothm.,.,.,.,.,.,r,.,.,.,.
,Oeosporangium hispanicum (Mett.) Fraser-Jenk. & Pariyar [sub],.,.,.,.,.,.,.,+,.,.
,Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,.,.,+,.,.
,Festuca durandoi subsp. livida,.,.,.,.,.,.,.,.,+,.
,Narcissus asturiensis (Jord.) Pugsley,.,.,.,.,.,.,.,.,+,.
,Erica australis L.,.,.,.,.,.,.,.,.,.,+
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,.,.,.,.,.,.,.,.,1
