,,1,2,3,4,5,6,7,8,9,10,11
,Quercus broteroi (Cout.) Rivas-Martínez,4,4,4,4,4,4,5,4,4,4,4
,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],1,1,1,1,1,1,1,2,1,1,1
,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al.,1,1,+,1,1,1,2,1,1,1,+
,Arum italicum Mill. subsp. neglectum (Towns.) Prime,1,2,2,1,2,.,1,1,2,+,2
,Pyrus bourgaeana Decne.,2,1,.,+,+,+,1,1,1,+,.
,Carex riparia Curtis,1,1,.,.,.,+,+,1,1,+,.
,Oenanthe crocata L. [sub],.,1,+,.,1,+,+,+,+,+,.
,Scirpoides holoschoenus (L.) Soják,+,.,.,+,.,+,+,.,+,.,+
,Salix atrocinerea Brot.,.,.,.,+,.,.,+,.,+,+,.
,Ruscus aculeatus L.,3,2,2,3,2,1,2,1,2,3,3
,Smilax aspera L. [sub],3,3,3,3,3,3,2,2,3,3,2
,Quercus suber L.,+,+,.,+,.,+,+,+,+,+,+
,Quercus rotundifolia Lam.,.,+,+,+,+,+,+,+,.,+,.
,Carex distachya Desf.,.,1,1,.,.,.,+,1,.,+,1
,Teucrium scorodonia L.,.,.,.,1,.,.,.,.,.,+,1
,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl. [sub],.,.,.,.,.,1,.,.,1,.,.
,Asplenium onopteris L.,.,.,.,.,.,.,.,.,.,+,2
,Quercus coccifera subsp. rivasmartinezii,.,.,.,.,.,.,.,.,.,.,1
,Rubia peregrina L.,2,1,1,1,1,1,2,1,1,2,1
,Daphne gnidium L.,1,1,+,+,+,1,+,+,+,1,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi,.,+,2,+,1,+,+,1,+,+,1
,Rhamnus alaternus L.,.,1,2,2,2,+,2,1,2,1,1
,Asparagus acutifolius L.,.,2,1,1,1,+,2,2,2,2,.
,Lonicera implexa Aiton,.,.,.,1,1,.,+,+,.,+,.
,Phillyrea latifolia L. [sub],.,.,2,.,.,.,.,.,2,+,1
,Arisarum simorrhinum Durieu,.,.,.,.,1,.,.,1,.,.,1
,Pistacia lentiscus L.,2,1,2,2,2,.,2,1,1,2,1
,Arbutus unedo L.,2,1,.,1,2,1,1,+,2,2,1
,Phillyrea angustifolia L.,+,+,.,.,+,.,+,+,+,1,.
,Myrtus communis L.,.,1,1,.,2,+,1,.,.,1,1
,Asparagus aphyllus L.,1,.,.,.,.,+,1,.,+,+,1
,Sanguisorba hybrida (L.) Font Quer,.,1,.,.,+,+,+,+,.,.,.
,Quercus coccifera L.,.,+,.,+,.,.,.,.,+,+,+
,Osyris alba L.,1,.,1,.,.,1,.,.,+,.,.
,Osyris quadripartita Salzm. ex Decne.,1,.,.,.,.,.,.,.,.,.,1
,Paeonia broteri Boiss. & Reut. [sub],.,1,.,.,.,.,.,.,.,.,.
,Quercus lusitanica Lam.,.,+,.,.,.,.,.,.,.,.,.
,Rhaponticoides africana (Lam.) M.V.Agab. & Greuter [sub],.,.,.,.,.,+,.,.,.,.,.
,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,.,.,.,.,.,.,+,.
,Hedera maderensis K. Koch ex A. Rutherf. subsp. iberica McAllister,.,.,.,.,.,.,.,.,.,.,3
,Laurus nobilis L.,.,.,.,.,.,.,.,.,.,.,3
,Quercus Xjahandiezii A. Camus [sub],.,.,.,.,.,.,.,.,.,.,2
,Euphorbia characias L.,.,.,.,.,.,.,.,.,.,.,+
,Ephedra fragilis Desf.,.,.,.,.,.,.,.,.,.,.,+
,Rubus ulmifolius Schott,3,1,3,2,3,3,2,2,2,2,1
,Crataegus monogyna Jacq. [sub],1,1,1,1,1,2,1,1,1,1,.
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,+,.,+,2,2,1,1,1,1,1
,Tamus communis L.,.,2,.,.,2,+,1,2,1,+,1
,Rosa pouzinii Tratt.,2,1,.,.,1,.,1,+,3,.,.
,Rosa canina L.,.,.,.,.,.,.,1,+,.,.,.
,Clematis vitalba L.,.,.,.,.,.,.,.,+,.,.,.
,Prunus spinosa L.,.,.,.,.,.,.,.,.,+,.,.
,Brachypodium phoenicoides (L.) Roem. & Schult.,1,2,.,1,1,1,+,1,1,1,.
,Campanula rapunculus L.,.,1,1,1,+,1,+,1,1,+,.
,Agrostis castellana Boiss. & Reut.,+,.,.,+,.,.,.,+,+,+,.
,Fraxinus angustifolia Vahl,1,.,.,.,.,1,+,+,+,.,.
,Calamintha nepeta (L.) Savi subsp. nepeta [sub],+,+,.,.,.,.,.,+,+,+,.
,Agrimonia eupatoria L.,.,1,.,.,+,+,.,+,+,.,.
,Aristolochia paucinervis Pomel,.,1,.,.,2,+,.,.,1,.,.
,Cheirolophus sempervirens (L.) Pomel,.,1,.,.,.,.,1,.,.,1,1
,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,.,.,1,.,.,1,1,1
,Stachys germanica L. [sub],+,.,.,+,.,.,+,.,.,.,.
,Origanum virens Hoffmanns. & Link,+,.,.,1,.,.,.,.,.,+,.
,Thapsia villosa L.,.,1,.,.,.,+,.,.,.,+,.
,Erica arborea L.,.,1,.,.,.,.,.,.,.,+,2
,Iris foetidissima L.,.,.,.,.,.,.,1,1,.,.,2
,Juncus inflexus L.,+,+,.,.,.,.,+,.,.,.,.
,Cynodon dactylon (L.) Pers.,+,.,.,.,.,.,+,.,+,.,.
,Mentha suaveolens Ehrh.,.,+,+,.,.,.,.,.,.,.,.
,Holcus lanatus L.,.,.,.,.,.,1,.,.,.,+,.
,Vitis vinifera L. subsp. sylvestris (C.C. Gmel.) Hegi,.,.,1,.,.,.,.,.,.,2,.
,Retama sphaerocarpa (L.) Boiss.,.,.,+,.,+,.,.,.,.,.,.
,Arrhenatherum album (Vahl) W. D. Clayton,.,.,.,.,.,.,+,.,.,+,.
,Genista triacanthos Brot.,.,.,.,.,.,.,+,.,.,+,.
,Equisetum telmateia Ehrh.,.,.,.,.,.,.,+,.,.,+,.
,Phalaris coerulescens Desf.,.,.,.,.,.,1,.,+,.,.,.
,Thapsia transtagana Brot.,.,.,.,.,.,+,.,+,.,.,.
,Scrophularia scorodonia L.,.,.,.,.,.,.,.,+,.,.,+
,Cytisus arboreus (Desf.) DC. [sub],.,1,.,.,.,.,.,.,.,.,.
,Asphodelus fistulosus L.,.,+,.,.,.,.,.,.,.,.,.
,Allium roseum L.,.,+,.,.,.,.,.,.,.,.,.
,Juncus acutiflorus Ehrh. ex Hoffm. [sub],.,+,.,.,.,.,.,.,.,.,.
,Sanguisorba minor Scop.,.,+,.,.,.,.,.,.,.,.,.
,Digitalis purpurea L.,.,+,.,.,.,.,.,.,.,.,.
,Carex otrubae Podp. [sub],.,+,.,.,.,.,.,.,.,.,.
,Eryngium dilatatum Lam.,.,.,.,+,.,.,.,.,.,.,.
,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],.,.,.,.,1,.,.,.,.,.,.
,Avenella stricta,.,.,.,.,+,.,.,.,.,.,.
,Prunella vulgaris L.,.,.,.,.,.,1,.,.,.,.,.
,Oenanthe pimpinelloides L.,.,.,.,.,.,+,.,.,.,.,.
