,,1,2,3,,,,,1,2,3,4,5,6,7,8
,Quercus robur L. [sub],4,3,3,,,,Quercus robur L.,3,4,4,3,4,4,3,4
,Viburnum tinus L.,1,1,2,,,,Hedera hibernica (G. Kirchn.) Bean,2,1,2,2,2,2,1,1
,Teucrium scorodonia L.,1,+,+,,,,Ruscus aculeatus L.,+,2,1,2,2,2,1,2
,Hedera hibernica (G. Kirchn.) Bean,1,.,3,,,,Viburnum tinus L.,+,1,2,+,2,1,2,.
,Lonicera periclymenum L. [sub],1,1,.,,,,Teucrium scorodonia L.,2,+,1,+,.,+,1,1
,Quercus Xandegavensis subsp. henriquesii,1,+,.,,,,Rubia peregrina L. [sub],1,+,1,+,.,1,+,1
,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,+,1,,,,Lonicera periclymenum L.,1,.,2,1,+,+,1,+
,Castanea sativa Mill.,.,+,1,,,,Arbutus unedo L.,.,+,1,2,+,1,1,+
,Quercus Xcoutinhoi Samp.,.,+,.,,,,Tamus communis L.,+,1,+,+,.,+,+,.
,Ruscus aculeatus L.,.,.,2,,,,Smilax aspera L. [sub],+,+,.,+,.,+,1,1
,Arbutus unedo L.,.,.,1,,,,Ilex aquifolium L.,.,2,2,2,1,1,+,.
,Tamus communis L.,.,.,+,,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,+,1,+,+,.,+,1
,Smilax aspera L.,.,.,1,,,,Luzula forsteri (Sm.) DC. subsp. cantabrica P. Monts. [sub],+,1,1,+,.,.,+,.
,Ilex aquifolium L.,.,.,1,,,,Vinca difformis Pourr.,2,1,2,.,.,+,.,1
,Luzula forsteri (Sm.) DC. subsp. baetica P. Monts.,.,.,1,,,,Holcus mollis L.,.,1,+,.,+,+,.,1
,Vinca difformis Pourr.,.,.,2,,,,Asparagus aphyllus L.,.,+,+,.,.,+,+,.
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,+,,,,Phillyrea latifolia L.,.,.,.,+,3,+,1,.
,Polygonatum odoratum (Mill.) Druce,.,.,+,,,,Polypodium cambricum L. subsp. cambricum [sub],1,+,1,+,+,.,+,+
,Quercus suber L.,+,+,.,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,+,1,.,1,1,1,2
,Asplenium onopteris L.,.,+,1,,,,Rubus ulmifolius Schott,1,1,1,.,1,+,1,1
