,,1,2,3,4,5,6,,,,,1,2,,,,,1
,Quercus pseudococcifera,3,4,5,5,5,4,,,a,Quercus coccifera L.,5,3,,,,Quercus coccifera L.,5
,Paeonia broteri Boiss. & Reut. [sub],.,.,.,+,.,.,,,,Pistacia lentiscus L.,+,2,,,,Viburnum tinus L.,3
,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,+,.,.,,,,Rubia peregrina L.,+,+,,,,Arbutus unedo L.,1
,Asparagus acutifolius L.,.,.,.,.,.,.,,,,Phillyrea angustifolia L.,+,+,,,,Phillyrea latifolia L. [sub],2
,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],2,1,1,1,1,.,,,,Phillyrea latifolia L. [sub],+,+,,,,Phillyrea angustifolia L.,1
,Asparagus aphyllus L.,2,1,1,.,.,.,,,,Arbutus unedo L.,(+),2,,,,Smilax aspera L. [sub],2
,Phlomis purpurea L.,.,+,+,2,1,+,,,,Myrtus communis L.,.,2,,,,Lonicera implexa Aiton,1
,Myrtus communis L.,1,1,2,1,2,1,,,,Rhamnus alaternus L.,.,+,,,,Ruscus aculeatus L.,+
,Avenella flexuosa (L.) Drejer [sub],+,1,+,.,.,.,,,,Smilax aspera L. [sub],.,+,,,,Pistacia lentiscus L.,2
,Scilla monophyllos Link,1,1,2,2,1,1,,,,Pulicaria odora (L.) Rchb.,+,.,,,,Erica arborea L.,+
,Ruscus aculeatus L.,+,.,1,2,2,1,,,,Carex distachya Desf. [sub],+,.,,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],1
,Viburnum tinus L.,1,2,3,2,3,2,,,,Daphne gnidium L.,.,r,,,,Myrtus communis L.,2
,Asplenium onopteris L.,.,.,.,+,+,+,,,,Calamintha nepeta (L.) Savi [sub],+,r,,,,Arisarum simorrhinum Durieu,1
,Phillyrea latifolia L.,2,1,3,2,2,1,,,,Cistus monspeliensis L.,2,2,,,,Phillyrea latifolia L.,+
,Bellis sylvestris Cirillo,.,.,+,1,+,1,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,2,2,,,,Bupleurum fruticosum L.,+
,Smilax aspera L. [sub],1,+,+,1,1,1,,,,Rosmarinus officinalis L.,+,2,,,,Asplenium onopteris L.,+
,Rubia peregrina L. [sub],2,1,1,1,1,+,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,+,+,,,,Rubia peregrina L. [sub],+
