Taxonomia atual,1,2,3
Acacia dealbata Link,,,
Acanthus mollis L.,,,
Acer campestre L.,,,
Acer monspessulanum L.,,,
Acer pseudoplatanus L.,,,
Achillea ageratum L.,,,
Achillea millefolium L.,Achillea millefolium subsp. millefolium,,
Achnatherum bromoides (L.) P. Beauv.,,,
"Achnatherum paradoxum (L.) Banfi, Galasso & Bartolucci",Piptatherum paradoxum (L.) P. Beauv.,,
Acis autumnalis (L.) Sweet,Leucojum autumnale L.,,
Acis trichophylla Sweet ex G.Don,Leucojum trichophyllum Schousb.,,
Adenocarpus complicatus (L.) J.Gay,Adenocarpus complicatus (L.) J. Gay in Durieu,,
Adenocarpus complicatus subsp. lainzii Castrov.,Adenocarpus complicatus (L.) J. Gay in Durieu subsp. lainzii Castrov.,,
Adenocarpus hispanicus subsp. hispanicus,Adenocarpus anisochilus Boiss.,,
Adenocarpus telonensis (Loisel.) DC.,Adenocarpus telonensis (Loisel.) DC. in Lam. & DC.,,
Adenocarpus hispanicus subsp. argyrophyllus (Rivas Goday) Rivas Goday,Adenocarpus argyrophyllus (Rivas Goday) Caball.,,
Aegilops geniculata Roth,,,
Aetheorrhiza bulbosa subsp. bulbosa,Sonchus bulbosus (L.) N.Kilian & Greuter,,
Aetheorrhiza bulbosa subsp. bulbosa,Sonchus bulbosus (L.) N.Kilian & Greuter subsp. bulbosus,,
Agrimonia eupatoria L.,,,
Agrimonia eupatoria subsp. eupatoria,Agrimonia eupatoria L. subsp. eupatoria,,
Agrostemma githago L.,,,
Agrostis capillaris L.,Agrostis Xcapillaris_X_A._castellana,,
Agrostis castellana Boiss. & Reut.,,,
Agrostis curtisii Kerguélen,,,
Agrostis durieui Willk.,Agrostis truncatula subsp. commista Castrov. & Charpin,,
Agrostis setarea,,Agrostis setarea,
Agrostis sp.,,,
Agrostis stolonifera L.,,,
Aira caryophyllea L.,,,
Aira cupaniana Guss.,,,
Aira praecox L.,,,
Airopsis tenella (Cav.) Coss. & Durieu,Airopsis tenella (Cav.) Asch. & Graebn.,,
Ajuga iva (L.) Schreb.,,,
Ajuga pyramidalis L.,,,
Ajuga pyramidalis subsp. meonantha (Hoffmanns. & Link) Fern.Casas,Ajuga pyramidalis L. subsp. meonantha (Hoffmanns. & Link) R. Fernandes,,
Ajuga reptans L.,,,
Alliaria petiolata (M.Bieb.) Cavara & Grande,,,
Allium massaessylum Batt. & Trab.,Allium masaessylum,,
Allium neapolitanum Cirillo,Alium neapolitanum,,
Allium paniculatum L. ,Allium paniculatum L. subsp. paniculatum,,
Allium pruinatum Link ex Spreng.,,,
Allium roseum L.,,,
Allium scorzonerifolium Desf. ex DC.,Allium scorzonerifolium Desf. ex DC. in Redouté,,
Allium sphaerocephalon L.,,,
Allium victorialis L.,,,
Alnus glutinosa (L.) Gaertn.,,,
Amelanchier ovalis Medik.,,,
Ammophila arenaria (L.) Link,,,
"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",Orchis morio L.,Orchis morio L. subsp. champagneuxii (Barnéoud) E.G. Camus,
"Anacamptis morio subsp. champagneuxii (Barnéoud) H.Kretzschmar, Eccarius & H.Dietr.",Orchis champagneusii,,
Anacamptis morio subsp. picta (Loisel.) Jacquet & Scappat.,Orchis morio L. subsp. picta (Loisel.) Arcang.,,
Anacamptis pyramidalis (L.) Rich.,,,
Anagallis arvensis L.,,,
Anagallis monelli L.,,,
Anagyris foetida L.,,,
Anarrhinum bellidifolium (L.) Willd.,,,
Anarrhinum duriminium (Brot.) Pers.,,,
Anarrhinum longipedicellatum R.Fern.,Anarrhiunum longipedicellatum,,
Andryala integrifolia L.,,,
Anemone nemorosa L.,,,
Anemone palmata L.,,,
Anemone trifolia L.,,,
Anemone trifolia subsp. albida (Mariz) Ulbr.,Anemone trifolia L. subsp. albida (Mariz) Ulbr.,,
Angelica major Lag.,,,
Angelica sylvestris L.,,,
Anogramma leptophylla (L.) Link,,,
Anthoxanthum amarum Brot.,,,
Anthoxanthum aristatum Boiss.,Anthoxanthum aristatum subsp. aristatum var. w,Anthoxanthum ovatum Lag. aristatum (Boiss.) Litard. 020851,
Anthoxanthum odoratum L.,,,
Anthriscus caucalis M.Bieb.,Anthiriscus caucaulis,,
Anthriscus caucalis M.Bieb.,,,
Anthriscus sylvestris (L.) Hoffm.,,,
Anthyllis cornicina L.,Hymenocarpos cornicina (L.) Vis.,,
Anthyllis cytisoides L.,,,
Anthyllis lotoides L.,Hymenocarpos lotoides (L.) Vis.,,
Anthyllis vulneraria L.,,,
Anthyllis vulneraria subsp. gandogeri (Sagorski) Maire,Anthyllis vulneraria L. subsp. gandogeri (Sagorski) W. Becker ex Maire,,
Anthyllis vulneraria subsp. maura (Beck) Maire,Anthyllis vulneraria L. subsp. maura (G. Beck) Maire,,
Antirrhinum cirrhigerum (Welw. ex Ficalho) Rothm.,Antirrhinum majus L. subsp. cirrhigerum (Ficalho) Franco,,
Antirrhinum graniticum Rothm.,Antirhinum graniticum,,
Antirrhinum linkianum Boiss. & Reut.,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm.,,
Aphanes microcarpa (Boiss. & Reut.) Rothm.,,,
Aquilegia vulgaris L.,,,
Aquilegia vulgaris subsp. dichroa (Freyn) T.E.Díaz,Aquilegia vulgaris L. subsp. dichroa (Freyn) T.E. Díaz,,
Arabis alpina L.,,,
Arabis juressi Rothm.,Arabis juresii,,
Arabis planisiliqua (Pers.) Rchb.,,,
Arabis stenocarpa Boiss. & Reut.,Arabis hirsuta var. stenocarpa,,
Arbutus unedo L.,,,
Arctium minus (Hill) Bernh.,,,
Arctostaphylos uva-ursi (L.) Spreng.,,,
Arenaria montana L.,,,
Arenaria montana subsp. montana,Arenaria montana L. subsp. montana,,
Arenaria montana subsp. intricata (Ser.) Pau,Arenaria montana L. subsp. intricata (Ser.) Pau,,
Arenaria serpyllifolia L.,,,
Aria edulis (Willd.) M.Roem.,Sorbus aria (L.) Crantz,,
Arisarum simorrhinum Durieu,,,
Arisarum vulgare O.Targ.Tozz.,Arisarum vulgare Targ.-Tozz.,,
Aristolochia baetica L.,,,
Aristolochia paucinervis Pomel,,,
Aristolochia pistolochia L.,,,
Armeria beirana Franco,,,
Armeria beirana subsp. beirana,,,
Armeria pubigera (Desf.) Boiss.,,,
Armeria pungens (Link) Hoffmanns. & Link,,,
Armeria rouyana Daveau,,,
Armeria transmontana (Samp.) Lawr.,Armeria transmontana (Samp.) G.H.M. Lawr.,,
Arnoseris minima (L.) Schweigg. & Körte,,,
Arrhenatherum album (Vahl) Clayton,Arrhenatherum album (Vahl) W. D. Clayton,,
Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl,,,
Arrhenatherum elatius subsp. baeticum Romero Zarco,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. baeticum Romero Zarco,,
Arrhenatherum elatius subsp. bulbosum (Willd.) Schübl. & G.Martens,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,,
Arrhenatherum sp.,,,
Artemisia campestris subsp. campestris,Artemisia campestris L. subsp. glutinosa (J. Gay ex DC.) Batt. in Batt. & Trab.,,
Arum cylindraceum Gasp.,,,
Arum italicum Mill.,Arum italicum subsp. italicum,Arum italicum Mill. subsp. italicum,Arum gr. italicum Mill.
Arum italicum subsp. neglectum (F.Towns.) Prime,Arum italicum Mill. subsp. neglectum (Towns.) Prime,,
Arum maculatum L.,,,
Arundo donax L.,,,
Asparagus acutifolius L.,,,
